W0327 08:09:11.857000 1677420 torch/distributed/run.py:852] 
W0327 08:09:11.857000 1677420 torch/distributed/run.py:852] *****************************************
W0327 08:09:11.857000 1677420 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0327 08:09:11.857000 1677420 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 66841.50it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 15406.08it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 67923.95it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14525.73it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 68200.07it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 72005.22it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 75915.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 61008.06it/s]
logs/fp8_stats_overnight.txt
FP8 stats enabled; skipping torch.compile so hooks can log tensor ranges.
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8277 train_time:0ms step_avg:0.04ms
step:1/4740 train_time:164ms step_avg:164.20ms
step:2/4740 train_time:304ms step_avg:152.07ms
step:3/4740 train_time:437ms step_avg:145.81ms
step:4/4740 train_time:576ms step_avg:144.00ms
step:5/4740 train_time:710ms step_avg:141.95ms
step:6/4740 train_time:849ms step_avg:141.42ms
step:7/4740 train_time:982ms step_avg:140.29ms
step:8/4740 train_time:1121ms step_avg:140.11ms
step:9/4740 train_time:1254ms step_avg:139.36ms
step:10/4740 train_time:1416ms step_avg:141.62ms
step:11/4740 train_time:1528ms step_avg:138.89ms
step:12/4740 train_time:1667ms step_avg:138.90ms
step:13/4740 train_time:1800ms step_avg:138.50ms
step:14/4740 train_time:1940ms step_avg:138.54ms
step:15/4740 train_time:2073ms step_avg:138.21ms
step:16/4740 train_time:2212ms step_avg:138.26ms
step:17/4740 train_time:2346ms step_avg:138.00ms
step:18/4740 train_time:2485ms step_avg:138.06ms
step:19/4740 train_time:2619ms step_avg:137.84ms
step:20/4740 train_time:2782ms step_avg:139.08ms
step:21/4740 train_time:2893ms step_avg:137.76ms
step:22/4740 train_time:3032ms step_avg:137.81ms
step:23/4740 train_time:3166ms step_avg:137.63ms
step:24/4740 train_time:3305ms step_avg:137.69ms
step:25/4740 train_time:3438ms step_avg:137.53ms
step:26/4740 train_time:3577ms step_avg:137.59ms
step:27/4740 train_time:3711ms step_avg:137.44ms
step:28/4740 train_time:3850ms step_avg:137.51ms
step:29/4740 train_time:3984ms step_avg:137.38ms
step:30/4740 train_time:4146ms step_avg:138.20ms
step:31/4740 train_time:4258ms step_avg:137.34ms
step:32/4740 train_time:4397ms step_avg:137.40ms
step:33/4740 train_time:4530ms step_avg:137.28ms
step:34/4740 train_time:4670ms step_avg:137.34ms
step:35/4740 train_time:4803ms step_avg:137.24ms
step:36/4740 train_time:4943ms step_avg:137.30ms
step:37/4740 train_time:5076ms step_avg:137.19ms
step:38/4740 train_time:5215ms step_avg:137.24ms
step:39/4740 train_time:5349ms step_avg:137.16ms
step:40/4740 train_time:5511ms step_avg:137.77ms
step:41/4740 train_time:5622ms step_avg:137.13ms
step:42/4740 train_time:5762ms step_avg:137.18ms
step:43/4740 train_time:5895ms step_avg:137.10ms
step:44/4740 train_time:6034ms step_avg:137.15ms
step:45/4740 train_time:6168ms step_avg:137.06ms
step:46/4740 train_time:6307ms step_avg:137.11ms
step:47/4740 train_time:6441ms step_avg:137.03ms
step:48/4740 train_time:6580ms step_avg:137.08ms
step:49/4740 train_time:6713ms step_avg:137.01ms
step:50/4740 train_time:6876ms step_avg:137.52ms
step:51/4740 train_time:6987ms step_avg:137.01ms
step:52/4740 train_time:7126ms step_avg:137.04ms
step:53/4740 train_time:7260ms step_avg:136.98ms
step:54/4740 train_time:7399ms step_avg:137.03ms
step:55/4740 train_time:7533ms step_avg:136.96ms
step:56/4740 train_time:7672ms step_avg:137.00ms
step:57/4740 train_time:7805ms step_avg:136.94ms
step:58/4740 train_time:7945ms step_avg:136.98ms
step:59/4740 train_time:8079ms step_avg:136.92ms
step:60/4740 train_time:8241ms step_avg:137.35ms
step:61/4740 train_time:8352ms step_avg:136.92ms
step:62/4740 train_time:8491ms step_avg:136.96ms
step:63/4740 train_time:8625ms step_avg:136.90ms
step:64/4740 train_time:8764ms step_avg:136.94ms
step:65/4740 train_time:8898ms step_avg:136.88ms
step:66/4740 train_time:9036ms step_avg:136.92ms
step:67/4740 train_time:9170ms step_avg:136.87ms
step:68/4740 train_time:9309ms step_avg:136.90ms
step:69/4740 train_time:9443ms step_avg:136.85ms
step:70/4740 train_time:9605ms step_avg:137.22ms
step:71/4740 train_time:9717ms step_avg:136.86ms
step:72/4740 train_time:9856ms step_avg:136.89ms
step:73/4740 train_time:9989ms step_avg:136.84ms
step:74/4740 train_time:10128ms step_avg:136.87ms
step:75/4740 train_time:10262ms step_avg:136.82ms
step:76/4740 train_time:10401ms step_avg:136.85ms
step:77/4740 train_time:10535ms step_avg:136.81ms
step:78/4740 train_time:10673ms step_avg:136.84ms
step:79/4740 train_time:10807ms step_avg:136.80ms
step:80/4740 train_time:10970ms step_avg:137.12ms
step:81/4740 train_time:11081ms step_avg:136.80ms
step:82/4740 train_time:11220ms step_avg:136.83ms
step:83/4740 train_time:11354ms step_avg:136.79ms
step:84/4740 train_time:11493ms step_avg:136.82ms
step:85/4740 train_time:11626ms step_avg:136.78ms
step:86/4740 train_time:11765ms step_avg:136.80ms
step:87/4740 train_time:11899ms step_avg:136.77ms
step:88/4740 train_time:12038ms step_avg:136.79ms
step:89/4740 train_time:12171ms step_avg:136.76ms
step:90/4740 train_time:12334ms step_avg:137.04ms
step:91/4740 train_time:12445ms step_avg:136.76ms
step:92/4740 train_time:12585ms step_avg:136.79ms
step:93/4740 train_time:12718ms step_avg:136.75ms
step:94/4740 train_time:12857ms step_avg:136.78ms
step:95/4740 train_time:12990ms step_avg:136.74ms
step:96/4740 train_time:13129ms step_avg:136.76ms
step:97/4740 train_time:13263ms step_avg:136.73ms
step:98/4740 train_time:13402ms step_avg:136.76ms
step:99/4740 train_time:13535ms step_avg:136.72ms
step:100/4740 train_time:13697ms step_avg:136.97ms
step:101/4740 train_time:13808ms step_avg:136.72ms
step:102/4740 train_time:13948ms step_avg:136.74ms
step:103/4740 train_time:14081ms step_avg:136.71ms
step:104/4740 train_time:14220ms step_avg:136.73ms
step:105/4740 train_time:14354ms step_avg:136.70ms
step:106/4740 train_time:14493ms step_avg:136.73ms
step:107/4740 train_time:14627ms step_avg:136.70ms
step:108/4740 train_time:14766ms step_avg:136.72ms
step:109/4740 train_time:14899ms step_avg:136.69ms
step:110/4740 train_time:15062ms step_avg:136.92ms
step:111/4740 train_time:15173ms step_avg:136.70ms
step:112/4740 train_time:15312ms step_avg:136.72ms
step:113/4740 train_time:15446ms step_avg:136.69ms
step:114/4740 train_time:15585ms step_avg:136.71ms
step:115/4740 train_time:15718ms step_avg:136.68ms
step:116/4740 train_time:15858ms step_avg:136.70ms
step:117/4740 train_time:15991ms step_avg:136.68ms
step:118/4740 train_time:16130ms step_avg:136.69ms
step:119/4740 train_time:16264ms step_avg:136.67ms
step:120/4740 train_time:16425ms step_avg:136.88ms
step:121/4740 train_time:16537ms step_avg:136.67ms
step:122/4740 train_time:16678ms step_avg:136.70ms
step:123/4740 train_time:16811ms step_avg:136.67ms
step:124/4740 train_time:16950ms step_avg:136.69ms
step:125/4740 train_time:17084ms step_avg:136.67ms
step:126/4740 train_time:17222ms step_avg:136.68ms
step:127/4740 train_time:17356ms step_avg:136.66ms
step:128/4740 train_time:17495ms step_avg:136.68ms
step:129/4740 train_time:17628ms step_avg:136.65ms
step:130/4740 train_time:17791ms step_avg:136.85ms
step:131/4740 train_time:17902ms step_avg:136.66ms
step:132/4740 train_time:18041ms step_avg:136.67ms
step:133/4740 train_time:18174ms step_avg:136.65ms
step:134/4740 train_time:18313ms step_avg:136.67ms
step:135/4740 train_time:18447ms step_avg:136.64ms
step:136/4740 train_time:18586ms step_avg:136.66ms
step:137/4740 train_time:18719ms step_avg:136.63ms
step:138/4740 train_time:18858ms step_avg:136.65ms
step:139/4740 train_time:18991ms step_avg:136.63ms
step:140/4740 train_time:19153ms step_avg:136.81ms
step:141/4740 train_time:19265ms step_avg:136.63ms
step:142/4740 train_time:19404ms step_avg:136.65ms
step:143/4740 train_time:19537ms step_avg:136.62ms
step:144/4740 train_time:19676ms step_avg:136.64ms
step:145/4740 train_time:19810ms step_avg:136.62ms
step:146/4740 train_time:19949ms step_avg:136.64ms
step:147/4740 train_time:20082ms step_avg:136.61ms
step:148/4740 train_time:20221ms step_avg:136.63ms
step:149/4740 train_time:20355ms step_avg:136.61ms
step:150/4740 train_time:20517ms step_avg:136.78ms
step:151/4740 train_time:20628ms step_avg:136.61ms
step:152/4740 train_time:20767ms step_avg:136.63ms
step:153/4740 train_time:20901ms step_avg:136.61ms
step:154/4740 train_time:21040ms step_avg:136.62ms
step:155/4740 train_time:21173ms step_avg:136.60ms
step:156/4740 train_time:21312ms step_avg:136.61ms
step:157/4740 train_time:21445ms step_avg:136.59ms
step:158/4740 train_time:21584ms step_avg:136.61ms
step:159/4740 train_time:21718ms step_avg:136.59ms
step:160/4740 train_time:21880ms step_avg:136.75ms
step:161/4740 train_time:21991ms step_avg:136.59ms
step:162/4740 train_time:22130ms step_avg:136.60ms
step:163/4740 train_time:22263ms step_avg:136.58ms
step:164/4740 train_time:22402ms step_avg:136.60ms
step:165/4740 train_time:22535ms step_avg:136.58ms
step:166/4740 train_time:22674ms step_avg:136.59ms
step:167/4740 train_time:22808ms step_avg:136.57ms
step:168/4740 train_time:22947ms step_avg:136.59ms
step:169/4740 train_time:23080ms step_avg:136.57ms
step:170/4740 train_time:23242ms step_avg:136.71ms
step:171/4740 train_time:23353ms step_avg:136.57ms
step:172/4740 train_time:23492ms step_avg:136.58ms
step:173/4740 train_time:23625ms step_avg:136.56ms
step:174/4740 train_time:23764ms step_avg:136.57ms
step:175/4740 train_time:23897ms step_avg:136.55ms
step:176/4740 train_time:24036ms step_avg:136.57ms
step:177/4740 train_time:24169ms step_avg:136.55ms
step:178/4740 train_time:24308ms step_avg:136.56ms
step:179/4740 train_time:24442ms step_avg:136.55ms
step:180/4740 train_time:24604ms step_avg:136.69ms
step:181/4740 train_time:24715ms step_avg:136.55ms
step:182/4740 train_time:24854ms step_avg:136.56ms
step:183/4740 train_time:24987ms step_avg:136.54ms
step:184/4740 train_time:25126ms step_avg:136.55ms
step:185/4740 train_time:25260ms step_avg:136.54ms
step:186/4740 train_time:25398ms step_avg:136.55ms
step:187/4740 train_time:25532ms step_avg:136.53ms
step:188/4740 train_time:25670ms step_avg:136.54ms
step:189/4740 train_time:25803ms step_avg:136.53ms
step:190/4740 train_time:25965ms step_avg:136.66ms
step:191/4740 train_time:26076ms step_avg:136.53ms
step:192/4740 train_time:26215ms step_avg:136.54ms
step:193/4740 train_time:26349ms step_avg:136.52ms
step:194/4740 train_time:26488ms step_avg:136.53ms
step:195/4740 train_time:26621ms step_avg:136.52ms
step:196/4740 train_time:26759ms step_avg:136.53ms
step:197/4740 train_time:26893ms step_avg:136.51ms
step:198/4740 train_time:27031ms step_avg:136.52ms
step:199/4740 train_time:27164ms step_avg:136.50ms
step:200/4740 train_time:27326ms step_avg:136.63ms
step:201/4740 train_time:27437ms step_avg:136.50ms
step:202/4740 train_time:27576ms step_avg:136.51ms
step:203/4740 train_time:27710ms step_avg:136.50ms
step:204/4740 train_time:27848ms step_avg:136.51ms
step:205/4740 train_time:27982ms step_avg:136.50ms
step:206/4740 train_time:28121ms step_avg:136.51ms
step:207/4740 train_time:28254ms step_avg:136.49ms
step:208/4740 train_time:28393ms step_avg:136.50ms
step:209/4740 train_time:28526ms step_avg:136.49ms
step:210/4740 train_time:28688ms step_avg:136.61ms
step:211/4740 train_time:28799ms step_avg:136.49ms
step:212/4740 train_time:28938ms step_avg:136.50ms
step:213/4740 train_time:29071ms step_avg:136.48ms
step:214/4740 train_time:29210ms step_avg:136.50ms
step:215/4740 train_time:29343ms step_avg:136.48ms
step:216/4740 train_time:29482ms step_avg:136.49ms
step:217/4740 train_time:29615ms step_avg:136.48ms
step:218/4740 train_time:29754ms step_avg:136.49ms
step:219/4740 train_time:29887ms step_avg:136.47ms
step:220/4740 train_time:30049ms step_avg:136.59ms
step:221/4740 train_time:30160ms step_avg:136.47ms
step:222/4740 train_time:30299ms step_avg:136.48ms
step:223/4740 train_time:30432ms step_avg:136.47ms
step:224/4740 train_time:30571ms step_avg:136.48ms
step:225/4740 train_time:30705ms step_avg:136.47ms
step:226/4740 train_time:30844ms step_avg:136.48ms
step:227/4740 train_time:30977ms step_avg:136.46ms
step:228/4740 train_time:31115ms step_avg:136.47ms
step:229/4740 train_time:31249ms step_avg:136.46ms
