W0327 16:12:17.608000 1748353 torch/distributed/run.py:852] 
W0327 16:12:17.608000 1748353 torch/distributed/run.py:852] *****************************************
W0327 16:12:17.608000 1748353 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0327 16:12:17.608000 1748353 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 58867.42it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 62601.55it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 68200.07it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 17753.67it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 67108.86it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 73262.95it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 66576.25it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 13992.67it/s]
logs/medium_fp8_speed_4690.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 390, 391, 392, 781, 782, 783, 1172, 1173, 1174, 1563, 1564, 1565, 1954, 1955, 1956, 2344, 2345, 2346, 2735, 2736, 2737, 3126, 3127, 3128] for warmup
Resetting Model
step:0/4730 val_loss:10.8329 train_time:0ms step_avg:0.07ms
step:1/4730 train_time:107ms step_avg:107.32ms
step:2/4730 train_time:155ms step_avg:77.70ms
step:3/4730 train_time:212ms step_avg:70.83ms
step:4/4730 train_time:298ms step_avg:74.42ms
step:5/4730 train_time:356ms step_avg:71.15ms
step:6/4730 train_time:440ms step_avg:73.40ms
step:7/4730 train_time:499ms step_avg:71.23ms
step:8/4730 train_time:583ms step_avg:72.91ms
step:9/4730 train_time:641ms step_avg:71.27ms
step:10/4730 train_time:726ms step_avg:72.62ms
step:11/4730 train_time:784ms step_avg:71.26ms
step:12/4730 train_time:869ms step_avg:72.41ms
step:13/4730 train_time:926ms step_avg:71.26ms
step:14/4730 train_time:1012ms step_avg:72.29ms
step:15/4730 train_time:1070ms step_avg:71.36ms
step:16/4730 train_time:1157ms step_avg:72.31ms
step:17/4730 train_time:1215ms step_avg:71.50ms
step:18/4730 train_time:1301ms step_avg:72.29ms
step:19/4730 train_time:1360ms step_avg:71.58ms
step:20/4730 train_time:1446ms step_avg:72.30ms
step:21/4730 train_time:1504ms step_avg:71.64ms
step:22/4730 train_time:1590ms step_avg:72.27ms
step:23/4730 train_time:1647ms step_avg:71.62ms
step:24/4730 train_time:1733ms step_avg:72.21ms
step:25/4730 train_time:1791ms step_avg:71.65ms
step:26/4730 train_time:1876ms step_avg:72.16ms
step:27/4730 train_time:1935ms step_avg:71.67ms
step:28/4730 train_time:2021ms step_avg:72.19ms
step:29/4730 train_time:2080ms step_avg:71.71ms
step:30/4730 train_time:2165ms step_avg:72.15ms
step:31/4730 train_time:2223ms step_avg:71.72ms
step:32/4730 train_time:2309ms step_avg:72.17ms
step:33/4730 train_time:2367ms step_avg:71.72ms
step:34/4730 train_time:2453ms step_avg:72.15ms
step:35/4730 train_time:2512ms step_avg:71.78ms
step:36/4730 train_time:2599ms step_avg:72.18ms
step:37/4730 train_time:2657ms step_avg:71.81ms
step:38/4730 train_time:2744ms step_avg:72.20ms
step:39/4730 train_time:2802ms step_avg:71.85ms
step:40/4730 train_time:2888ms step_avg:72.19ms
step:41/4730 train_time:2946ms step_avg:71.86ms
step:42/4730 train_time:3032ms step_avg:72.20ms
step:43/4730 train_time:3092ms step_avg:71.90ms
step:44/4730 train_time:3176ms step_avg:72.19ms
step:45/4730 train_time:3235ms step_avg:71.88ms
step:46/4730 train_time:3320ms step_avg:72.18ms
step:47/4730 train_time:3379ms step_avg:71.88ms
step:48/4730 train_time:3464ms step_avg:72.17ms
step:49/4730 train_time:3523ms step_avg:71.90ms
step:50/4730 train_time:3608ms step_avg:72.16ms
step:51/4730 train_time:3666ms step_avg:71.89ms
step:52/4730 train_time:3751ms step_avg:72.14ms
step:53/4730 train_time:3809ms step_avg:71.87ms
step:54/4730 train_time:3895ms step_avg:72.13ms
step:55/4730 train_time:3953ms step_avg:71.88ms
step:56/4730 train_time:4039ms step_avg:72.13ms
step:57/4730 train_time:4099ms step_avg:71.91ms
step:58/4730 train_time:4184ms step_avg:72.14ms
step:59/4730 train_time:4242ms step_avg:71.90ms
step:60/4730 train_time:4328ms step_avg:72.14ms
step:61/4730 train_time:4386ms step_avg:71.91ms
step:62/4730 train_time:4472ms step_avg:72.13ms
step:63/4730 train_time:4530ms step_avg:71.90ms
step:64/4730 train_time:4616ms step_avg:72.13ms
step:65/4730 train_time:4674ms step_avg:71.91ms
step:66/4730 train_time:4760ms step_avg:72.12ms
step:67/4730 train_time:4818ms step_avg:71.92ms
step:68/4730 train_time:4904ms step_avg:72.12ms
