W0208 10:44:16.298000 1940245 torch/distributed/run.py:852] 
W0208 10:44:16.298000 1940245 torch/distributed/run.py:852] *****************************************
W0208 10:44:16.298000 1940245 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 10:44:16.298000 1940245 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 63310.25it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 65536.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 67378.38it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9554.22it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 16861.52it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 86480.49it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 64527.75it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 11848.32it/s]
logs/sweep_muon0.021_adam0.004.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8313 train_time:1ms step_avg:0.88ms
step:1/4740 train_time:98ms step_avg:97.83ms
step:2/4740 train_time:158ms step_avg:78.99ms
step:3/4740 train_time:216ms step_avg:72.09ms
step:4/4740 train_time:302ms step_avg:75.61ms
step:5/4740 train_time:362ms step_avg:72.35ms
step:6/4740 train_time:447ms step_avg:74.55ms
step:7/4740 train_time:506ms step_avg:72.30ms
step:8/4740 train_time:591ms step_avg:73.90ms
step:9/4740 train_time:650ms step_avg:72.27ms
step:10/4740 train_time:736ms step_avg:73.58ms
step:11/4740 train_time:795ms step_avg:72.26ms
step:12/4740 train_time:881ms step_avg:73.38ms
step:13/4740 train_time:940ms step_avg:72.30ms
step:14/4740 train_time:1026ms step_avg:73.30ms
step:15/4740 train_time:1088ms step_avg:72.52ms
step:16/4740 train_time:1176ms step_avg:73.48ms
step:17/4740 train_time:1236ms step_avg:72.68ms
step:18/4740 train_time:1323ms step_avg:73.49ms
step:19/4740 train_time:1382ms step_avg:72.72ms
step:20/4740 train_time:1469ms step_avg:73.44ms
step:21/4740 train_time:1529ms step_avg:72.81ms
step:22/4740 train_time:1615ms step_avg:73.41ms
step:23/4740 train_time:1675ms step_avg:72.81ms
step:24/4740 train_time:1760ms step_avg:73.34ms
step:25/4740 train_time:1819ms step_avg:72.78ms
step:26/4740 train_time:1906ms step_avg:73.30ms
step:27/4740 train_time:1965ms step_avg:72.77ms
step:28/4740 train_time:2051ms step_avg:73.26ms
step:29/4740 train_time:2112ms step_avg:72.82ms
step:30/4740 train_time:2199ms step_avg:73.29ms
step:31/4740 train_time:2259ms step_avg:72.87ms
step:32/4740 train_time:2345ms step_avg:73.29ms
step:33/4740 train_time:2406ms step_avg:72.90ms
step:34/4740 train_time:2492ms step_avg:73.29ms
step:35/4740 train_time:2551ms step_avg:72.90ms
step:36/4740 train_time:2638ms step_avg:73.26ms
step:37/4740 train_time:2697ms step_avg:72.89ms
step:38/4740 train_time:2783ms step_avg:73.23ms
step:39/4740 train_time:2842ms step_avg:72.88ms
step:40/4740 train_time:2929ms step_avg:73.21ms
step:41/4740 train_time:2988ms step_avg:72.88ms
step:42/4740 train_time:3074ms step_avg:73.19ms
step:43/4740 train_time:3134ms step_avg:72.88ms
step:44/4740 train_time:3220ms step_avg:73.18ms
step:45/4740 train_time:3280ms step_avg:72.88ms
step:46/4740 train_time:3366ms step_avg:73.17ms
step:47/4740 train_time:3426ms step_avg:72.90ms
step:48/4740 train_time:3513ms step_avg:73.19ms
step:49/4740 train_time:3573ms step_avg:72.92ms
step:50/4740 train_time:3659ms step_avg:73.19ms
step:51/4740 train_time:3719ms step_avg:72.93ms
step:52/4740 train_time:3806ms step_avg:73.19ms
step:53/4740 train_time:3866ms step_avg:72.94ms
step:54/4740 train_time:3951ms step_avg:73.17ms
step:55/4740 train_time:4011ms step_avg:72.92ms
step:56/4740 train_time:4097ms step_avg:73.16ms
step:57/4740 train_time:4156ms step_avg:72.92ms
step:58/4740 train_time:4243ms step_avg:73.15ms
step:59/4740 train_time:4303ms step_avg:72.94ms
step:60/4740 train_time:4390ms step_avg:73.16ms
step:61/4740 train_time:4449ms step_avg:72.93ms
step:62/4740 train_time:4535ms step_avg:73.14ms
step:63/4740 train_time:4595ms step_avg:72.93ms
step:64/4740 train_time:4682ms step_avg:73.15ms
step:65/4740 train_time:4741ms step_avg:72.94ms
step:66/4740 train_time:4828ms step_avg:73.16ms
step:67/4740 train_time:4890ms step_avg:72.98ms
step:68/4740 train_time:4976ms step_avg:73.17ms
step:69/4740 train_time:5035ms step_avg:72.97ms
step:70/4740 train_time:5122ms step_avg:73.17ms
step:71/4740 train_time:5181ms step_avg:72.97ms
step:72/4740 train_time:5266ms step_avg:73.14ms
step:73/4740 train_time:5326ms step_avg:72.96ms
step:74/4740 train_time:5412ms step_avg:73.14ms
step:75/4740 train_time:5473ms step_avg:72.97ms
step:76/4740 train_time:5559ms step_avg:73.15ms
step:77/4740 train_time:5619ms step_avg:72.98ms
step:78/4740 train_time:5706ms step_avg:73.16ms
step:79/4740 train_time:5767ms step_avg:73.00ms
step:80/4740 train_time:5853ms step_avg:73.16ms
step:81/4740 train_time:5913ms step_avg:73.00ms
step:82/4740 train_time:5999ms step_avg:73.16ms
step:83/4740 train_time:6059ms step_avg:73.00ms
step:84/4740 train_time:6145ms step_avg:73.16ms
step:85/4740 train_time:6205ms step_avg:73.00ms
step:86/4740 train_time:6292ms step_avg:73.16ms
step:87/4740 train_time:6351ms step_avg:73.00ms
step:88/4740 train_time:6437ms step_avg:73.14ms
step:89/4740 train_time:6496ms step_avg:72.99ms
step:90/4740 train_time:6583ms step_avg:73.14ms
step:91/4740 train_time:6641ms step_avg:72.98ms
step:92/4740 train_time:6728ms step_avg:73.13ms
step:93/4740 train_time:6788ms step_avg:72.99ms
step:94/4740 train_time:6875ms step_avg:73.13ms
step:95/4740 train_time:6934ms step_avg:72.99ms
step:96/4740 train_time:7021ms step_avg:73.13ms
step:97/4740 train_time:7079ms step_avg:72.98ms
step:98/4740 train_time:7166ms step_avg:73.12ms
step:99/4740 train_time:7225ms step_avg:72.98ms
step:100/4740 train_time:7311ms step_avg:73.11ms
step:101/4740 train_time:7371ms step_avg:72.98ms
step:102/4740 train_time:7458ms step_avg:73.11ms
step:103/4740 train_time:7516ms step_avg:72.97ms
step:104/4740 train_time:7602ms step_avg:73.10ms
step:105/4740 train_time:7662ms step_avg:72.97ms
step:106/4740 train_time:7748ms step_avg:73.09ms
