W0208 11:06:50.673000 1948480 torch/distributed/run.py:852] 
W0208 11:06:50.673000 1948480 torch/distributed/run.py:852] *****************************************
W0208 11:06:50.673000 1948480 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 11:06:50.673000 1948480 torch/distributed/run.py:852] *****************************************

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5461.33it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 16627.57it/s]

Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 50840.05it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14016.05it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9039.45it/s]

Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14110.36it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14027.77it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 41425.22it/s]
logs/sweep_muon0.021_adam0.006.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8336 train_time:1ms step_avg:0.97ms
step:1/4740 train_time:91ms step_avg:91.48ms
step:2/4740 train_time:158ms step_avg:79.10ms
step:3/4740 train_time:217ms step_avg:72.19ms
step:4/4740 train_time:302ms step_avg:75.49ms
step:5/4740 train_time:361ms step_avg:72.23ms
step:6/4740 train_time:447ms step_avg:74.45ms
step:7/4740 train_time:506ms step_avg:72.22ms
step:8/4740 train_time:591ms step_avg:73.89ms
step:9/4740 train_time:650ms step_avg:72.24ms
step:10/4740 train_time:736ms step_avg:73.57ms
step:11/4740 train_time:795ms step_avg:72.24ms
step:12/4740 train_time:881ms step_avg:73.39ms
step:13/4740 train_time:940ms step_avg:72.32ms
step:14/4740 train_time:1029ms step_avg:73.52ms
step:15/4740 train_time:1091ms step_avg:72.76ms
step:16/4740 train_time:1178ms step_avg:73.60ms
step:17/4740 train_time:1238ms step_avg:72.81ms
step:18/4740 train_time:1324ms step_avg:73.55ms
step:19/4740 train_time:1384ms step_avg:72.82ms
step:20/4740 train_time:1470ms step_avg:73.50ms
step:21/4740 train_time:1529ms step_avg:72.83ms
step:22/4740 train_time:1615ms step_avg:73.40ms
step:23/4740 train_time:1675ms step_avg:72.82ms
step:24/4740 train_time:1761ms step_avg:73.37ms
step:25/4740 train_time:1820ms step_avg:72.79ms
step:26/4740 train_time:1906ms step_avg:73.32ms
step:27/4740 train_time:1966ms step_avg:72.80ms
step:28/4740 train_time:2052ms step_avg:73.27ms
step:29/4740 train_time:2112ms step_avg:72.82ms
step:30/4740 train_time:2198ms step_avg:73.27ms
step:31/4740 train_time:2258ms step_avg:72.84ms
step:32/4740 train_time:2345ms step_avg:73.29ms
step:33/4740 train_time:2405ms step_avg:72.89ms
step:34/4740 train_time:2492ms step_avg:73.28ms
step:35/4740 train_time:2551ms step_avg:72.89ms
step:36/4740 train_time:2637ms step_avg:73.25ms
step:37/4740 train_time:2696ms step_avg:72.87ms
step:38/4740 train_time:2782ms step_avg:73.21ms
step:39/4740 train_time:2841ms step_avg:72.85ms
step:40/4740 train_time:2928ms step_avg:73.20ms
step:41/4740 train_time:2987ms step_avg:72.85ms
step:42/4740 train_time:3074ms step_avg:73.18ms
step:43/4740 train_time:3134ms step_avg:72.89ms
step:44/4740 train_time:3220ms step_avg:73.19ms
step:45/4740 train_time:3280ms step_avg:72.88ms
step:46/4740 train_time:3367ms step_avg:73.19ms
step:47/4740 train_time:3426ms step_avg:72.90ms
step:48/4740 train_time:3513ms step_avg:73.18ms
step:49/4740 train_time:3574ms step_avg:72.93ms
step:50/4740 train_time:3660ms step_avg:73.20ms
step:51/4740 train_time:3720ms step_avg:72.93ms
step:52/4740 train_time:3805ms step_avg:73.18ms
step:53/4740 train_time:3865ms step_avg:72.92ms
step:54/4740 train_time:3951ms step_avg:73.16ms
step:55/4740 train_time:4011ms step_avg:72.93ms
step:56/4740 train_time:4097ms step_avg:73.16ms
step:57/4740 train_time:4157ms step_avg:72.94ms
step:58/4740 train_time:4244ms step_avg:73.17ms
step:59/4740 train_time:4303ms step_avg:72.94ms
step:60/4740 train_time:4390ms step_avg:73.16ms
step:61/4740 train_time:4450ms step_avg:72.96ms
step:62/4740 train_time:4536ms step_avg:73.17ms
step:63/4740 train_time:4596ms step_avg:72.96ms
step:64/4740 train_time:4683ms step_avg:73.18ms
step:65/4740 train_time:4743ms step_avg:72.97ms
step:66/4740 train_time:4829ms step_avg:73.17ms
step:67/4740 train_time:4889ms step_avg:72.97ms
step:68/4740 train_time:4975ms step_avg:73.16ms
step:69/4740 train_time:5034ms step_avg:72.96ms
step:70/4740 train_time:5120ms step_avg:73.15ms
step:71/4740 train_time:5180ms step_avg:72.96ms
step:72/4740 train_time:5266ms step_avg:73.14ms
step:73/4740 train_time:5326ms step_avg:72.95ms
step:74/4740 train_time:5413ms step_avg:73.15ms
step:75/4740 train_time:5473ms step_avg:72.97ms
step:76/4740 train_time:5559ms step_avg:73.15ms
step:77/4740 train_time:5618ms step_avg:72.97ms
step:78/4740 train_time:5705ms step_avg:73.15ms
step:79/4740 train_time:5764ms step_avg:72.97ms
step:80/4740 train_time:5851ms step_avg:73.14ms
step:81/4740 train_time:5910ms step_avg:72.97ms
step:82/4740 train_time:5996ms step_avg:73.13ms
step:83/4740 train_time:6056ms step_avg:72.96ms
step:84/4740 train_time:6142ms step_avg:73.12ms
step:85/4740 train_time:6202ms step_avg:72.96ms
step:86/4740 train_time:6287ms step_avg:73.11ms
step:87/4740 train_time:6346ms step_avg:72.95ms
step:88/4740 train_time:6432ms step_avg:73.09ms
step:89/4740 train_time:6492ms step_avg:72.94ms
step:90/4740 train_time:6577ms step_avg:73.08ms
step:91/4740 train_time:6637ms step_avg:72.93ms
step:92/4740 train_time:6723ms step_avg:73.08ms
step:93/4740 train_time:6783ms step_avg:72.94ms
step:94/4740 train_time:6870ms step_avg:73.08ms
step:95/4740 train_time:6930ms step_avg:72.95ms
step:96/4740 train_time:7016ms step_avg:73.08ms
step:97/4740 train_time:7075ms step_avg:72.94ms
step:98/4740 train_time:7162ms step_avg:73.08ms
step:99/4740 train_time:7222ms step_avg:72.95ms
step:100/4740 train_time:7308ms step_avg:73.08ms
step:101/4740 train_time:7368ms step_avg:72.95ms
step:102/4740 train_time:7454ms step_avg:73.08ms
step:103/4740 train_time:7514ms step_avg:72.95ms
step:104/4740 train_time:7600ms step_avg:73.08ms
step:105/4740 train_time:7660ms step_avg:72.95ms
step:106/4740 train_time:7746ms step_avg:73.08ms
step:107/4740 train_time:7806ms step_avg:72.96ms
step:108/4740 train_time:7893ms step_avg:73.09ms
step:109/4740 train_time:7953ms step_avg:72.96ms
step:110/4740 train_time:8039ms step_avg:73.08ms
step:111/4740 train_time:8098ms step_avg:72.96ms
step:112/4740 train_time:8185ms step_avg:73.08ms
step:113/4740 train_time:8245ms step_avg:72.97ms
step:114/4740 train_time:8332ms step_avg:73.09ms
step:115/4740 train_time:8390ms step_avg:72.96ms
step:116/4740 train_time:8477ms step_avg:73.07ms
step:117/4740 train_time:8537ms step_avg:72.96ms
step:118/4740 train_time:8624ms step_avg:73.08ms
step:119/4740 train_time:8684ms step_avg:72.97ms
step:120/4740 train_time:8770ms step_avg:73.08ms
step:121/4740 train_time:8829ms step_avg:72.97ms
step:122/4740 train_time:8915ms step_avg:73.08ms
step:123/4740 train_time:8976ms step_avg:72.97ms
