W0208 11:29:20.896000 1956672 torch/distributed/run.py:852] 
W0208 11:29:20.896000 1956672 torch/distributed/run.py:852] *****************************************
W0208 11:29:20.896000 1956672 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 11:29:20.896000 1956672 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 11037.64it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9527.10it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 61680.94it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 71089.90it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9647.62it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 11949.58it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 62137.84it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 57065.36it/s]
logs/sweep_muon0.021_adam0.008.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8307 train_time:1ms step_avg:0.89ms
step:1/4740 train_time:99ms step_avg:98.92ms
step:2/4740 train_time:158ms step_avg:78.78ms
step:3/4740 train_time:216ms step_avg:72.06ms
step:4/4740 train_time:302ms step_avg:75.52ms
step:5/4740 train_time:361ms step_avg:72.10ms
step:6/4740 train_time:446ms step_avg:74.31ms
step:7/4740 train_time:506ms step_avg:72.25ms
step:8/4740 train_time:591ms step_avg:73.91ms
step:9/4740 train_time:650ms step_avg:72.24ms
step:10/4740 train_time:736ms step_avg:73.62ms
step:11/4740 train_time:795ms step_avg:72.28ms
step:12/4740 train_time:881ms step_avg:73.41ms
step:13/4740 train_time:940ms step_avg:72.28ms
step:14/4740 train_time:1026ms step_avg:73.31ms
step:15/4740 train_time:1088ms step_avg:72.51ms
step:16/4740 train_time:1175ms step_avg:73.47ms
step:17/4740 train_time:1236ms step_avg:72.68ms
step:18/4740 train_time:1323ms step_avg:73.48ms
step:19/4740 train_time:1382ms step_avg:72.74ms
step:20/4740 train_time:1468ms step_avg:73.41ms
step:21/4740 train_time:1528ms step_avg:72.75ms
step:22/4740 train_time:1613ms step_avg:73.34ms
step:23/4740 train_time:1673ms step_avg:72.74ms
step:24/4740 train_time:1758ms step_avg:73.25ms
step:25/4740 train_time:1818ms step_avg:72.70ms
step:26/4740 train_time:1904ms step_avg:73.22ms
step:27/4740 train_time:1963ms step_avg:72.71ms
step:28/4740 train_time:2050ms step_avg:73.23ms
step:29/4740 train_time:2110ms step_avg:72.77ms
step:30/4740 train_time:2198ms step_avg:73.25ms
step:31/4740 train_time:2258ms step_avg:72.85ms
step:32/4740 train_time:2345ms step_avg:73.29ms
step:33/4740 train_time:2405ms step_avg:72.88ms
step:34/4740 train_time:2492ms step_avg:73.29ms
step:35/4740 train_time:2551ms step_avg:72.89ms
step:36/4740 train_time:2637ms step_avg:73.24ms
step:37/4740 train_time:2697ms step_avg:72.88ms
step:38/4740 train_time:2784ms step_avg:73.26ms
step:39/4740 train_time:2843ms step_avg:72.90ms
step:40/4740 train_time:2929ms step_avg:73.23ms
step:41/4740 train_time:2988ms step_avg:72.88ms
step:42/4740 train_time:3074ms step_avg:73.19ms
step:43/4740 train_time:3134ms step_avg:72.89ms
step:44/4740 train_time:3221ms step_avg:73.20ms
step:45/4740 train_time:3280ms step_avg:72.89ms
step:46/4740 train_time:3368ms step_avg:73.21ms
step:47/4740 train_time:3428ms step_avg:72.93ms
step:48/4740 train_time:3514ms step_avg:73.21ms
step:49/4740 train_time:3574ms step_avg:72.93ms
step:50/4740 train_time:3660ms step_avg:73.19ms
step:51/4740 train_time:3720ms step_avg:72.94ms
step:52/4740 train_time:3806ms step_avg:73.19ms
step:53/4740 train_time:3866ms step_avg:72.94ms
step:54/4740 train_time:3952ms step_avg:73.18ms
step:55/4740 train_time:4011ms step_avg:72.93ms
step:56/4740 train_time:4098ms step_avg:73.17ms
step:57/4740 train_time:4158ms step_avg:72.94ms
step:58/4740 train_time:4244ms step_avg:73.17ms
step:59/4740 train_time:4303ms step_avg:72.94ms
step:60/4740 train_time:4390ms step_avg:73.17ms
step:61/4740 train_time:4450ms step_avg:72.95ms
step:62/4740 train_time:4535ms step_avg:73.15ms
step:63/4740 train_time:4595ms step_avg:72.94ms
step:64/4740 train_time:4682ms step_avg:73.16ms
step:65/4740 train_time:4742ms step_avg:72.95ms
step:66/4740 train_time:4828ms step_avg:73.14ms
step:67/4740 train_time:4887ms step_avg:72.94ms
step:68/4740 train_time:4973ms step_avg:73.14ms
