W0208 17:30:05.039000 2051658 torch/distributed/run.py:852] 
W0208 17:30:05.039000 2051658 torch/distributed/run.py:852] *****************************************
W0208 17:30:05.039000 2051658 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 17:30:05.039000 2051658 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9243.65it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14563.56it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 64035.18it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 65793.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 65536.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 63550.06it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 64280.52it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14051.27it/s]
logs/sweep_muon0.015_adam0.004.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8318 train_time:1ms step_avg:0.55ms
step:1/4740 train_time:104ms step_avg:103.67ms
step:2/4740 train_time:161ms step_avg:80.72ms
step:3/4740 train_time:220ms step_avg:73.34ms
step:4/4740 train_time:306ms step_avg:76.45ms
step:5/4740 train_time:366ms step_avg:73.24ms
step:6/4740 train_time:452ms step_avg:75.38ms
step:7/4740 train_time:511ms step_avg:72.98ms
step:8/4740 train_time:596ms step_avg:74.47ms
step:9/4740 train_time:655ms step_avg:72.77ms
step:10/4740 train_time:740ms step_avg:73.99ms
step:11/4740 train_time:799ms step_avg:72.64ms
step:12/4740 train_time:885ms step_avg:73.77ms
step:13/4740 train_time:945ms step_avg:72.69ms
step:14/4740 train_time:1031ms step_avg:73.67ms
step:15/4740 train_time:1093ms step_avg:72.85ms
step:16/4740 train_time:1179ms step_avg:73.71ms
step:17/4740 train_time:1240ms step_avg:72.92ms
step:18/4740 train_time:1325ms step_avg:73.63ms
step:19/4740 train_time:1386ms step_avg:72.92ms
step:20/4740 train_time:1472ms step_avg:73.62ms
step:21/4740 train_time:1531ms step_avg:72.92ms
step:22/4740 train_time:1617ms step_avg:73.50ms
step:23/4740 train_time:1676ms step_avg:72.88ms
step:24/4740 train_time:1763ms step_avg:73.44ms
step:25/4740 train_time:1822ms step_avg:72.88ms
step:26/4740 train_time:1908ms step_avg:73.39ms
step:27/4740 train_time:1968ms step_avg:72.90ms
step:28/4740 train_time:2055ms step_avg:73.38ms
step:29/4740 train_time:2114ms step_avg:72.91ms
step:30/4740 train_time:2201ms step_avg:73.35ms
step:31/4740 train_time:2261ms step_avg:72.93ms
step:32/4740 train_time:2347ms step_avg:73.34ms
step:33/4740 train_time:2407ms step_avg:72.95ms
step:34/4740 train_time:2493ms step_avg:73.34ms
step:35/4740 train_time:2553ms step_avg:72.95ms
step:36/4740 train_time:2640ms step_avg:73.33ms
step:37/4740 train_time:2699ms step_avg:72.95ms
step:38/4740 train_time:2785ms step_avg:73.30ms
step:39/4740 train_time:2845ms step_avg:72.96ms
step:40/4740 train_time:2932ms step_avg:73.29ms
step:41/4740 train_time:2991ms step_avg:72.95ms
step:42/4740 train_time:3077ms step_avg:73.26ms
step:43/4740 train_time:3137ms step_avg:72.94ms
step:44/4740 train_time:3224ms step_avg:73.27ms
step:45/4740 train_time:3284ms step_avg:72.98ms
step:46/4740 train_time:3371ms step_avg:73.28ms
step:47/4740 train_time:3430ms step_avg:72.98ms
step:48/4740 train_time:3516ms step_avg:73.25ms
step:49/4740 train_time:3575ms step_avg:72.96ms
step:50/4740 train_time:3662ms step_avg:73.24ms
step:51/4740 train_time:3722ms step_avg:72.98ms
step:52/4740 train_time:3809ms step_avg:73.24ms
step:53/4740 train_time:3869ms step_avg:73.00ms
step:54/4740 train_time:3955ms step_avg:73.24ms
step:55/4740 train_time:4015ms step_avg:72.99ms
step:56/4740 train_time:4101ms step_avg:73.23ms
step:57/4740 train_time:4161ms step_avg:73.00ms
step:58/4740 train_time:4247ms step_avg:73.22ms
step:59/4740 train_time:4307ms step_avg:72.99ms
step:60/4740 train_time:4393ms step_avg:73.22ms
step:61/4740 train_time:4453ms step_avg:73.00ms
step:62/4740 train_time:4538ms step_avg:73.20ms
step:63/4740 train_time:4597ms step_avg:72.97ms
step:64/4740 train_time:4684ms step_avg:73.18ms
step:65/4740 train_time:4743ms step_avg:72.97ms
step:66/4740 train_time:4829ms step_avg:73.17ms
step:67/4740 train_time:4889ms step_avg:72.97ms
step:68/4740 train_time:4975ms step_avg:73.17ms
step:69/4740 train_time:5035ms step_avg:72.97ms
step:70/4740 train_time:5121ms step_avg:73.16ms
step:71/4740 train_time:5181ms step_avg:72.97ms
step:72/4740 train_time:5267ms step_avg:73.15ms
step:73/4740 train_time:5327ms step_avg:72.97ms
step:74/4740 train_time:5413ms step_avg:73.15ms
step:75/4740 train_time:5473ms step_avg:72.97ms
step:76/4740 train_time:5559ms step_avg:73.14ms
