W0208 19:03:33.750000 2091977 torch/distributed/run.py:852] 
W0208 19:03:33.750000 2091977 torch/distributed/run.py:852] *****************************************
W0208 19:03:33.750000 2091977 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 19:03:33.750000 2091977 torch/distributed/run.py:852] *****************************************

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9404.27it/s]

Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6935.60it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14230.04it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 64776.90it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 76260.07it/s]

Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 81442.80it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 68200.07it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 62836.01it/s]
logs/sweep_muon0.017_adam0.006.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8322 train_time:1ms step_avg:0.57ms
step:1/4740 train_time:99ms step_avg:99.17ms
step:2/4740 train_time:165ms step_avg:82.64ms
step:3/4740 train_time:224ms step_avg:74.56ms
step:4/4740 train_time:310ms step_avg:77.43ms
step:5/4740 train_time:368ms step_avg:73.56ms
step:6/4740 train_time:454ms step_avg:75.63ms
step:7/4740 train_time:513ms step_avg:73.24ms
step:8/4740 train_time:598ms step_avg:74.76ms
step:9/4740 train_time:658ms step_avg:73.08ms
step:10/4740 train_time:743ms step_avg:74.31ms
step:11/4740 train_time:802ms step_avg:72.94ms
step:12/4740 train_time:888ms step_avg:74.01ms
step:13/4740 train_time:947ms step_avg:72.88ms
step:14/4740 train_time:1035ms step_avg:73.95ms
step:15/4740 train_time:1098ms step_avg:73.19ms
step:16/4740 train_time:1184ms step_avg:74.03ms
step:17/4740 train_time:1246ms step_avg:73.28ms
step:18/4740 train_time:1333ms step_avg:74.07ms
step:19/4740 train_time:1392ms step_avg:73.27ms
step:20/4740 train_time:1479ms step_avg:73.93ms
step:21/4740 train_time:1539ms step_avg:73.27ms
step:22/4740 train_time:1625ms step_avg:73.85ms
step:23/4740 train_time:1684ms step_avg:73.23ms
step:24/4740 train_time:1771ms step_avg:73.78ms
step:25/4740 train_time:1830ms step_avg:73.18ms
step:26/4740 train_time:1916ms step_avg:73.68ms
step:27/4740 train_time:1976ms step_avg:73.17ms
step:28/4740 train_time:2063ms step_avg:73.66ms
step:29/4740 train_time:2122ms step_avg:73.17ms
step:30/4740 train_time:2208ms step_avg:73.61ms
step:31/4740 train_time:2268ms step_avg:73.17ms
step:32/4740 train_time:2355ms step_avg:73.60ms
step:33/4740 train_time:2414ms step_avg:73.17ms
step:34/4740 train_time:2500ms step_avg:73.54ms
step:35/4740 train_time:2560ms step_avg:73.15ms
step:36/4740 train_time:2647ms step_avg:73.53ms
step:37/4740 train_time:2707ms step_avg:73.15ms
step:38/4740 train_time:2793ms step_avg:73.50ms
step:39/4740 train_time:2853ms step_avg:73.14ms
step:40/4740 train_time:2938ms step_avg:73.46ms
step:41/4740 train_time:2999ms step_avg:73.14ms
step:42/4740 train_time:3085ms step_avg:73.44ms
step:43/4740 train_time:3145ms step_avg:73.14ms
step:44/4740 train_time:3232ms step_avg:73.44ms
step:45/4740 train_time:3291ms step_avg:73.14ms
step:46/4740 train_time:3378ms step_avg:73.44ms
step:47/4740 train_time:3438ms step_avg:73.14ms
step:48/4740 train_time:3524ms step_avg:73.41ms
step:49/4740 train_time:3584ms step_avg:73.14ms
step:50/4740 train_time:3671ms step_avg:73.41ms
step:51/4740 train_time:3730ms step_avg:73.14ms
step:52/4740 train_time:3816ms step_avg:73.39ms
step:53/4740 train_time:3876ms step_avg:73.14ms
step:54/4740 train_time:3963ms step_avg:73.38ms
step:55/4740 train_time:4023ms step_avg:73.15ms
step:56/4740 train_time:4109ms step_avg:73.38ms
step:57/4740 train_time:4168ms step_avg:73.13ms
step:58/4740 train_time:4256ms step_avg:73.37ms
step:59/4740 train_time:4315ms step_avg:73.13ms
step:60/4740 train_time:4402ms step_avg:73.36ms
step:61/4740 train_time:4463ms step_avg:73.16ms
step:62/4740 train_time:4549ms step_avg:73.37ms
step:63/4740 train_time:4609ms step_avg:73.16ms
step:64/4740 train_time:4696ms step_avg:73.38ms
