W0208 20:06:05.287000 2116633 torch/distributed/run.py:852] 
W0208 20:06:05.287000 2116633 torch/distributed/run.py:852] *****************************************
W0208 20:06:05.287000 2116633 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 20:06:05.287000 2116633 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 72628.64it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 81840.08it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 64776.90it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 8422.30it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 13262.62it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 48210.39it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 56111.09it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 60133.39it/s]
logs/sweep_muon0.010_adam0.003.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8302 train_time:1ms step_avg:0.97ms
step:1/4740 train_time:91ms step_avg:90.70ms
step:2/4740 train_time:158ms step_avg:79.05ms
step:3/4740 train_time:216ms step_avg:72.11ms
step:4/4740 train_time:302ms step_avg:75.45ms
step:5/4740 train_time:361ms step_avg:72.17ms
step:6/4740 train_time:446ms step_avg:74.33ms
step:7/4740 train_time:505ms step_avg:72.18ms
step:8/4740 train_time:591ms step_avg:73.87ms
step:9/4740 train_time:650ms step_avg:72.17ms
step:10/4740 train_time:735ms step_avg:73.53ms
step:11/4740 train_time:794ms step_avg:72.21ms
step:12/4740 train_time:880ms step_avg:73.31ms
step:13/4740 train_time:939ms step_avg:72.24ms
step:14/4740 train_time:1025ms step_avg:73.21ms
step:15/4740 train_time:1085ms step_avg:72.32ms
step:16/4740 train_time:1172ms step_avg:73.26ms
step:17/4740 train_time:1233ms step_avg:72.52ms
step:18/4740 train_time:1319ms step_avg:73.27ms
step:19/4740 train_time:1379ms step_avg:72.59ms
step:20/4740 train_time:1466ms step_avg:73.31ms
step:21/4740 train_time:1526ms step_avg:72.64ms
step:22/4740 train_time:1612ms step_avg:73.25ms
step:23/4740 train_time:1671ms step_avg:72.66ms
step:24/4740 train_time:1757ms step_avg:73.20ms
step:25/4740 train_time:1816ms step_avg:72.65ms
step:26/4740 train_time:1903ms step_avg:73.18ms
step:27/4740 train_time:1962ms step_avg:72.66ms
step:28/4740 train_time:2048ms step_avg:73.15ms
step:29/4740 train_time:2108ms step_avg:72.67ms
step:30/4740 train_time:2194ms step_avg:73.14ms
step:31/4740 train_time:2253ms step_avg:72.69ms
step:32/4740 train_time:2340ms step_avg:73.12ms
step:33/4740 train_time:2400ms step_avg:72.73ms
step:34/4740 train_time:2486ms step_avg:73.11ms
step:35/4740 train_time:2545ms step_avg:72.73ms
step:36/4740 train_time:2631ms step_avg:73.09ms
step:37/4740 train_time:2691ms step_avg:72.73ms
step:38/4740 train_time:2777ms step_avg:73.08ms
step:39/4740 train_time:2837ms step_avg:72.74ms
step:40/4740 train_time:2923ms step_avg:73.08ms
step:41/4740 train_time:2984ms step_avg:72.78ms
step:42/4740 train_time:3070ms step_avg:73.10ms
step:43/4740 train_time:3130ms step_avg:72.79ms
step:44/4740 train_time:3216ms step_avg:73.09ms
step:45/4740 train_time:3276ms step_avg:72.80ms
step:46/4740 train_time:3363ms step_avg:73.11ms
step:47/4740 train_time:3423ms step_avg:72.83ms
step:48/4740 train_time:3510ms step_avg:73.12ms
step:49/4740 train_time:3569ms step_avg:72.84ms
step:50/4740 train_time:3655ms step_avg:73.10ms
step:51/4740 train_time:3715ms step_avg:72.84ms
step:52/4740 train_time:3801ms step_avg:73.10ms
step:53/4740 train_time:3861ms step_avg:72.84ms
step:54/4740 train_time:3947ms step_avg:73.10ms
step:55/4740 train_time:4006ms step_avg:72.84ms
step:56/4740 train_time:4093ms step_avg:73.08ms
step:57/4740 train_time:4152ms step_avg:72.85ms
step:58/4740 train_time:4239ms step_avg:73.08ms
step:59/4740 train_time:4299ms step_avg:72.86ms
step:60/4740 train_time:4385ms step_avg:73.09ms
step:61/4740 train_time:4445ms step_avg:72.87ms
step:62/4740 train_time:4532ms step_avg:73.10ms
step:63/4740 train_time:4592ms step_avg:72.90ms
step:64/4740 train_time:4678ms step_avg:73.10ms
step:65/4740 train_time:4739ms step_avg:72.90ms
step:66/4740 train_time:4825ms step_avg:73.11ms
step:67/4740 train_time:4885ms step_avg:72.91ms
step:68/4740 train_time:4972ms step_avg:73.11ms
step:69/4740 train_time:5031ms step_avg:72.91ms
step:70/4740 train_time:5118ms step_avg:73.11ms
step:71/4740 train_time:5177ms step_avg:72.92ms
step:72/4740 train_time:5264ms step_avg:73.11ms
step:73/4740 train_time:5324ms step_avg:72.93ms
step:74/4740 train_time:5410ms step_avg:73.11ms
step:75/4740 train_time:5469ms step_avg:72.92ms
step:76/4740 train_time:5556ms step_avg:73.10ms
step:77/4740 train_time:5616ms step_avg:72.93ms
step:78/4740 train_time:5702ms step_avg:73.10ms
step:79/4740 train_time:5762ms step_avg:72.93ms
step:80/4740 train_time:5848ms step_avg:73.10ms
step:81/4740 train_time:5907ms step_avg:72.93ms
step:82/4740 train_time:5994ms step_avg:73.10ms
step:83/4740 train_time:6054ms step_avg:72.94ms
step:84/4740 train_time:6141ms step_avg:73.11ms
step:85/4740 train_time:6200ms step_avg:72.94ms
step:86/4740 train_time:6287ms step_avg:73.10ms
step:87/4740 train_time:6347ms step_avg:72.96ms
step:88/4740 train_time:6434ms step_avg:73.11ms
step:89/4740 train_time:6493ms step_avg:72.96ms
step:90/4740 train_time:6579ms step_avg:73.10ms
step:91/4740 train_time:6639ms step_avg:72.96ms
step:92/4740 train_time:6725ms step_avg:73.10ms
step:93/4740 train_time:6785ms step_avg:72.96ms
step:94/4740 train_time:6872ms step_avg:73.10ms
step:95/4740 train_time:6931ms step_avg:72.96ms
step:96/4740 train_time:7017ms step_avg:73.10ms
step:97/4740 train_time:7077ms step_avg:72.96ms
step:98/4740 train_time:7163ms step_avg:73.09ms
step:99/4740 train_time:7223ms step_avg:72.96ms
step:100/4740 train_time:7308ms step_avg:73.08ms
step:101/4740 train_time:7368ms step_avg:72.95ms
step:102/4740 train_time:7454ms step_avg:73.08ms
step:103/4740 train_time:7514ms step_avg:72.95ms
step:104/4740 train_time:7600ms step_avg:73.07ms
step:105/4740 train_time:7660ms step_avg:72.95ms
step:106/4740 train_time:7746ms step_avg:73.07ms
step:107/4740 train_time:7805ms step_avg:72.95ms
step:108/4740 train_time:7892ms step_avg:73.07ms
step:109/4740 train_time:7951ms step_avg:72.95ms
step:110/4740 train_time:8038ms step_avg:73.07ms
step:111/4740 train_time:8098ms step_avg:72.95ms
step:112/4740 train_time:8185ms step_avg:73.08ms
step:113/4740 train_time:8244ms step_avg:72.96ms
step:114/4740 train_time:8331ms step_avg:73.08ms
step:115/4740 train_time:8390ms step_avg:72.96ms
step:116/4740 train_time:8477ms step_avg:73.08ms
step:117/4740 train_time:8536ms step_avg:72.96ms
step:118/4740 train_time:8622ms step_avg:73.07ms
step:119/4740 train_time:8682ms step_avg:72.96ms
step:120/4740 train_time:8768ms step_avg:73.07ms
step:121/4740 train_time:8827ms step_avg:72.95ms
step:122/4740 train_time:8914ms step_avg:73.06ms
step:123/4740 train_time:8973ms step_avg:72.95ms
step:124/4740 train_time:9059ms step_avg:73.05ms
step:125/4740 train_time:9119ms step_avg:72.95ms
step:126/4740 train_time:9205ms step_avg:73.06ms
step:127/4740 train_time:9265ms step_avg:72.96ms
step:128/4740 train_time:9352ms step_avg:73.06ms
step:129/4740 train_time:9412ms step_avg:72.96ms
step:130/4740 train_time:9498ms step_avg:73.06ms
step:131/4740 train_time:9558ms step_avg:72.96ms
step:132/4740 train_time:9644ms step_avg:73.06ms
step:133/4740 train_time:9704ms step_avg:72.96ms
step:134/4740 train_time:9791ms step_avg:73.07ms
step:135/4740 train_time:9850ms step_avg:72.97ms
step:136/4740 train_time:9937ms step_avg:73.06ms
step:137/4740 train_time:9996ms step_avg:72.96ms
step:138/4740 train_time:10082ms step_avg:73.06ms
step:139/4740 train_time:10141ms step_avg:72.96ms
step:140/4740 train_time:10228ms step_avg:73.05ms
step:141/4740 train_time:10287ms step_avg:72.96ms
step:142/4740 train_time:10374ms step_avg:73.06ms
step:143/4740 train_time:10434ms step_avg:72.96ms
step:144/4740 train_time:10520ms step_avg:73.05ms
step:145/4740 train_time:10580ms step_avg:72.96ms
step:146/4740 train_time:10666ms step_avg:73.05ms
step:147/4740 train_time:10726ms step_avg:72.97ms
step:148/4740 train_time:10812ms step_avg:73.06ms
step:149/4740 train_time:10872ms step_avg:72.97ms
step:150/4740 train_time:10958ms step_avg:73.06ms
step:151/4740 train_time:11018ms step_avg:72.97ms
step:152/4740 train_time:11104ms step_avg:73.05ms
