W0208 20:28:40.903000 2126467 torch/distributed/run.py:852] 
W0208 20:28:40.903000 2126467 torch/distributed/run.py:852] *****************************************
W0208 20:28:40.903000 2126467 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 20:28:40.903000 2126467 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9044.32it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14266.34it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 10498.88it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14450.66it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 67650.06it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 53773.13it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 56871.92it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 64776.90it/s]
logs/sweep_muon0.010_adam0.004.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8315 train_time:1ms step_avg:1.00ms
step:1/4740 train_time:95ms step_avg:95.05ms
step:2/4740 train_time:160ms step_avg:79.92ms
step:3/4740 train_time:218ms step_avg:72.76ms
step:4/4740 train_time:304ms step_avg:75.98ms
step:5/4740 train_time:363ms step_avg:72.62ms
step:6/4740 train_time:448ms step_avg:74.70ms
step:7/4740 train_time:507ms step_avg:72.42ms
step:8/4740 train_time:592ms step_avg:74.05ms
step:9/4740 train_time:651ms step_avg:72.36ms
step:10/4740 train_time:736ms step_avg:73.63ms
step:11/4740 train_time:796ms step_avg:72.34ms
step:12/4740 train_time:881ms step_avg:73.46ms
step:13/4740 train_time:940ms step_avg:72.34ms
step:14/4740 train_time:1029ms step_avg:73.46ms
step:15/4740 train_time:1091ms step_avg:72.72ms
step:16/4740 train_time:1178ms step_avg:73.63ms
step:17/4740 train_time:1237ms step_avg:72.79ms
step:18/4740 train_time:1324ms step_avg:73.53ms
step:19/4740 train_time:1384ms step_avg:72.82ms
step:20/4740 train_time:1469ms step_avg:73.47ms
step:21/4740 train_time:1529ms step_avg:72.79ms
step:22/4740 train_time:1615ms step_avg:73.40ms
step:23/4740 train_time:1674ms step_avg:72.77ms
step:24/4740 train_time:1760ms step_avg:73.32ms
step:25/4740 train_time:1819ms step_avg:72.78ms
step:26/4740 train_time:1905ms step_avg:73.27ms
step:27/4740 train_time:1964ms step_avg:72.76ms
step:28/4740 train_time:2052ms step_avg:73.27ms
step:29/4740 train_time:2113ms step_avg:72.87ms
step:30/4740 train_time:2200ms step_avg:73.34ms
step:31/4740 train_time:2260ms step_avg:72.91ms
step:32/4740 train_time:2347ms step_avg:73.34ms
step:33/4740 train_time:2406ms step_avg:72.92ms
step:34/4740 train_time:2493ms step_avg:73.34ms
step:35/4740 train_time:2554ms step_avg:72.98ms
step:36/4740 train_time:2640ms step_avg:73.34ms
step:37/4740 train_time:2700ms step_avg:72.97ms
step:38/4740 train_time:2786ms step_avg:73.32ms
step:39/4740 train_time:2845ms step_avg:72.96ms
step:40/4740 train_time:2931ms step_avg:73.29ms
