W0208 20:51:14.052000 2144525 torch/distributed/run.py:852] 
W0208 20:51:14.052000 2144525 torch/distributed/run.py:852] *****************************************
W0208 20:51:14.052000 2144525 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 20:51:14.052000 2144525 torch/distributed/run.py:852] *****************************************

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files:  50%|█████     | 2/4 [00:00<00:00, 19.15it/s]
Fetching 4 files:  75%|███████▌  | 3/4 [00:00<00:00, 25.68it/s]
Fetching 4 files:  75%|███████▌  | 3/4 [00:00<00:00, 25.53it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 34.00it/s]

Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 33.68it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 11667.05it/s]

Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 26.51it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 63072.24it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 41323.19it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 72628.64it/s]

Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 81840.08it/s]
logs/sweep_muon0.012_adam0.003.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8312 train_time:1ms step_avg:0.54ms
step:1/4740 train_time:96ms step_avg:96.08ms
step:2/4740 train_time:158ms step_avg:79.23ms
step:3/4740 train_time:217ms step_avg:72.42ms
step:4/4740 train_time:304ms step_avg:75.88ms
step:5/4740 train_time:362ms step_avg:72.41ms
step:6/4740 train_time:448ms step_avg:74.62ms
step:7/4740 train_time:506ms step_avg:72.31ms
step:8/4740 train_time:592ms step_avg:73.94ms
step:9/4740 train_time:651ms step_avg:72.31ms
step:10/4740 train_time:736ms step_avg:73.56ms
step:11/4740 train_time:795ms step_avg:72.30ms
step:12/4740 train_time:881ms step_avg:73.43ms
step:13/4740 train_time:940ms step_avg:72.32ms
step:14/4740 train_time:1027ms step_avg:73.34ms
step:15/4740 train_time:1087ms step_avg:72.49ms
step:16/4740 train_time:1174ms step_avg:73.40ms
step:17/4740 train_time:1235ms step_avg:72.66ms
step:18/4740 train_time:1322ms step_avg:73.43ms
step:19/4740 train_time:1382ms step_avg:72.74ms
step:20/4740 train_time:1469ms step_avg:73.43ms
step:21/4740 train_time:1528ms step_avg:72.76ms
step:22/4740 train_time:1615ms step_avg:73.40ms
step:23/4740 train_time:1675ms step_avg:72.82ms
step:24/4740 train_time:1761ms step_avg:73.38ms
step:25/4740 train_time:1821ms step_avg:72.83ms
step:26/4740 train_time:1907ms step_avg:73.33ms
step:27/4740 train_time:1966ms step_avg:72.82ms
step:28/4740 train_time:2053ms step_avg:73.31ms
step:29/4740 train_time:2113ms step_avg:72.87ms
step:30/4740 train_time:2200ms step_avg:73.32ms
step:31/4740 train_time:2259ms step_avg:72.86ms
step:32/4740 train_time:2344ms step_avg:73.26ms
step:33/4740 train_time:2403ms step_avg:72.82ms
step:34/4740 train_time:2490ms step_avg:73.22ms
step:35/4740 train_time:2549ms step_avg:72.83ms
step:36/4740 train_time:2635ms step_avg:73.20ms
step:37/4740 train_time:2695ms step_avg:72.84ms
step:38/4740 train_time:2782ms step_avg:73.20ms
step:39/4740 train_time:2841ms step_avg:72.85ms
step:40/4740 train_time:2927ms step_avg:73.17ms
step:41/4740 train_time:2986ms step_avg:72.83ms
step:42/4740 train_time:3072ms step_avg:73.14ms
step:43/4740 train_time:3132ms step_avg:72.84ms
step:44/4740 train_time:3218ms step_avg:73.13ms
