W0208 22:41:11.359000 2187547 torch/distributed/run.py:852] 
W0208 22:41:11.359000 2187547 torch/distributed/run.py:852] *****************************************
W0208 22:41:11.359000 2187547 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 22:41:11.359000 2187547 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9720.29it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 8268.71it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 65793.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 10625.22it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 12139.81it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 85163.53it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6432.98it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 60133.39it/s]
logs/sweep_muon0.008_cd0.55.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8327 train_time:1ms step_avg:0.92ms
step:1/4740 train_time:97ms step_avg:97.47ms
step:2/4740 train_time:163ms step_avg:81.33ms
step:3/4740 train_time:221ms step_avg:73.76ms
step:4/4740 train_time:307ms step_avg:76.80ms
step:5/4740 train_time:366ms step_avg:73.25ms
step:6/4740 train_time:452ms step_avg:75.30ms
step:7/4740 train_time:510ms step_avg:72.92ms
step:8/4740 train_time:595ms step_avg:74.43ms
step:9/4740 train_time:655ms step_avg:72.77ms
step:10/4740 train_time:740ms step_avg:73.98ms
step:11/4740 train_time:799ms step_avg:72.60ms
step:12/4740 train_time:885ms step_avg:73.71ms
step:13/4740 train_time:943ms step_avg:72.54ms
step:14/4740 train_time:1031ms step_avg:73.61ms
step:15/4740 train_time:1092ms step_avg:72.83ms
step:16/4740 train_time:1178ms step_avg:73.65ms
step:17/4740 train_time:1238ms step_avg:72.84ms
step:18/4740 train_time:1325ms step_avg:73.60ms
step:19/4740 train_time:1385ms step_avg:72.90ms
step:20/4740 train_time:1471ms step_avg:73.57ms
step:21/4740 train_time:1531ms step_avg:72.90ms
step:22/4740 train_time:1617ms step_avg:73.49ms
step:23/4740 train_time:1676ms step_avg:72.87ms
step:24/4740 train_time:1762ms step_avg:73.43ms
step:25/4740 train_time:1822ms step_avg:72.87ms
step:26/4740 train_time:1907ms step_avg:73.36ms
step:27/4740 train_time:1967ms step_avg:72.86ms
step:28/4740 train_time:2054ms step_avg:73.36ms
step:29/4740 train_time:2115ms step_avg:72.93ms
step:30/4740 train_time:2202ms step_avg:73.40ms
step:31/4740 train_time:2262ms step_avg:72.97ms
step:32/4740 train_time:2349ms step_avg:73.41ms
step:33/4740 train_time:2409ms step_avg:73.00ms
step:34/4740 train_time:2495ms step_avg:73.39ms
step:35/4740 train_time:2555ms step_avg:73.01ms
step:36/4740 train_time:2641ms step_avg:73.36ms
step:37/4740 train_time:2701ms step_avg:72.99ms
step:38/4740 train_time:2787ms step_avg:73.35ms
step:39/4740 train_time:2847ms step_avg:73.00ms
step:40/4740 train_time:2934ms step_avg:73.34ms
