W0208 23:03:47.045000 2196638 torch/distributed/run.py:852] 
W0208 23:03:47.045000 2196638 torch/distributed/run.py:852] *****************************************
W0208 23:03:47.045000 2196638 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0208 23:03:47.045000 2196638 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 11184.81it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 14873.42it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9642.08it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 64776.90it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 78398.21it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 11578.48it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 17154.62it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 71392.41it/s]
logs/sweep_muon0.008_cd0.60.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8299 train_time:1ms step_avg:0.79ms
step:1/4740 train_time:91ms step_avg:90.59ms
step:2/4740 train_time:158ms step_avg:79.21ms
step:3/4740 train_time:217ms step_avg:72.28ms
step:4/4740 train_time:303ms step_avg:75.80ms
step:5/4740 train_time:361ms step_avg:72.30ms
step:6/4740 train_time:447ms step_avg:74.51ms
step:7/4740 train_time:506ms step_avg:72.27ms
step:8/4740 train_time:591ms step_avg:73.89ms
step:9/4740 train_time:650ms step_avg:72.24ms
step:10/4740 train_time:735ms step_avg:73.53ms
step:11/4740 train_time:794ms step_avg:72.16ms
step:12/4740 train_time:880ms step_avg:73.29ms
step:13/4740 train_time:938ms step_avg:72.15ms
step:14/4740 train_time:1025ms step_avg:73.23ms
step:15/4740 train_time:1086ms step_avg:72.43ms
step:16/4740 train_time:1172ms step_avg:73.27ms
step:17/4740 train_time:1231ms step_avg:72.44ms
step:18/4740 train_time:1318ms step_avg:73.21ms
step:19/4740 train_time:1377ms step_avg:72.47ms
step:20/4740 train_time:1463ms step_avg:73.17ms
step:21/4740 train_time:1523ms step_avg:72.53ms
step:22/4740 train_time:1609ms step_avg:73.13ms
step:23/4740 train_time:1668ms step_avg:72.53ms
step:24/4740 train_time:1753ms step_avg:73.05ms
step:25/4740 train_time:1813ms step_avg:72.50ms
step:26/4740 train_time:1899ms step_avg:73.04ms
step:27/4740 train_time:1958ms step_avg:72.54ms
step:28/4740 train_time:2046ms step_avg:73.06ms
step:29/4740 train_time:2106ms step_avg:72.61ms
step:30/4740 train_time:2192ms step_avg:73.06ms
step:31/4740 train_time:2252ms step_avg:72.63ms
step:32/4740 train_time:2338ms step_avg:73.06ms
step:33/4740 train_time:2397ms step_avg:72.65ms
step:34/4740 train_time:2484ms step_avg:73.06ms
step:35/4740 train_time:2544ms step_avg:72.67ms
step:36/4740 train_time:2630ms step_avg:73.05ms
step:37/4740 train_time:2689ms step_avg:72.68ms
step:38/4740 train_time:2776ms step_avg:73.04ms
step:39/4740 train_time:2835ms step_avg:72.69ms
step:40/4740 train_time:2921ms step_avg:73.03ms
step:41/4740 train_time:2980ms step_avg:72.69ms
step:42/4740 train_time:3066ms step_avg:73.01ms
step:43/4740 train_time:3126ms step_avg:72.71ms
step:44/4740 train_time:3212ms step_avg:73.01ms
step:45/4740 train_time:3272ms step_avg:72.71ms
step:46/4740 train_time:3360ms step_avg:73.04ms
step:47/4740 train_time:3419ms step_avg:72.75ms
step:48/4740 train_time:3506ms step_avg:73.04ms
step:49/4740 train_time:3565ms step_avg:72.76ms
step:50/4740 train_time:3651ms step_avg:73.02ms
step:51/4740 train_time:3711ms step_avg:72.77ms
step:52/4740 train_time:3798ms step_avg:73.03ms
step:53/4740 train_time:3858ms step_avg:72.78ms
step:54/4740 train_time:3944ms step_avg:73.03ms
step:55/4740 train_time:4003ms step_avg:72.78ms
step:56/4740 train_time:4090ms step_avg:73.03ms
step:57/4740 train_time:4150ms step_avg:72.80ms
step:58/4740 train_time:4236ms step_avg:73.04ms
step:59/4740 train_time:4297ms step_avg:72.82ms
step:60/4740 train_time:4383ms step_avg:73.05ms
step:61/4740 train_time:4442ms step_avg:72.82ms
step:62/4740 train_time:4528ms step_avg:73.04ms
step:63/4740 train_time:4589ms step_avg:72.84ms
step:64/4740 train_time:4675ms step_avg:73.05ms
step:65/4740 train_time:4735ms step_avg:72.84ms
step:66/4740 train_time:4820ms step_avg:73.04ms
step:67/4740 train_time:4879ms step_avg:72.83ms
step:68/4740 train_time:4966ms step_avg:73.03ms
step:69/4740 train_time:5025ms step_avg:72.83ms
step:70/4740 train_time:5111ms step_avg:73.01ms
step:71/4740 train_time:5172ms step_avg:72.84ms
step:72/4740 train_time:5258ms step_avg:73.03ms
step:73/4740 train_time:5317ms step_avg:72.84ms
step:74/4740 train_time:5404ms step_avg:73.03ms
step:75/4740 train_time:5463ms step_avg:72.84ms
step:76/4740 train_time:5549ms step_avg:73.02ms
step:77/4740 train_time:5610ms step_avg:72.85ms
step:78/4740 train_time:5696ms step_avg:73.03ms
step:79/4740 train_time:5756ms step_avg:72.86ms
step:80/4740 train_time:5843ms step_avg:73.03ms
step:81/4740 train_time:5902ms step_avg:72.86ms
step:82/4740 train_time:5989ms step_avg:73.03ms
step:83/4740 train_time:6048ms step_avg:72.87ms
step:84/4740 train_time:6134ms step_avg:73.02ms
step:85/4740 train_time:6195ms step_avg:72.88ms
step:86/4740 train_time:6281ms step_avg:73.04ms
step:87/4740 train_time:6341ms step_avg:72.89ms
step:88/4740 train_time:6427ms step_avg:73.04ms
step:89/4740 train_time:6487ms step_avg:72.89ms
step:90/4740 train_time:6574ms step_avg:73.04ms
step:91/4740 train_time:6633ms step_avg:72.89ms
step:92/4740 train_time:6720ms step_avg:73.04ms
step:93/4740 train_time:6779ms step_avg:72.89ms
step:94/4740 train_time:6865ms step_avg:73.04ms
step:95/4740 train_time:6924ms step_avg:72.89ms
step:96/4740 train_time:7011ms step_avg:73.03ms
step:97/4740 train_time:7071ms step_avg:72.90ms
step:98/4740 train_time:7157ms step_avg:73.03ms
step:99/4740 train_time:7216ms step_avg:72.89ms
step:100/4740 train_time:7303ms step_avg:73.03ms
step:101/4740 train_time:7362ms step_avg:72.89ms
step:102/4740 train_time:7449ms step_avg:73.03ms
step:103/4740 train_time:7509ms step_avg:72.90ms
step:104/4740 train_time:7595ms step_avg:73.03ms
step:105/4740 train_time:7656ms step_avg:72.91ms
step:106/4740 train_time:7742ms step_avg:73.03ms
step:107/4740 train_time:7801ms step_avg:72.91ms
step:108/4740 train_time:7887ms step_avg:73.02ms
step:109/4740 train_time:7946ms step_avg:72.90ms
step:110/4740 train_time:8032ms step_avg:73.02ms
step:111/4740 train_time:8092ms step_avg:72.90ms
step:112/4740 train_time:8179ms step_avg:73.02ms
step:113/4740 train_time:8238ms step_avg:72.90ms
step:114/4740 train_time:8324ms step_avg:73.02ms
step:115/4740 train_time:8383ms step_avg:72.90ms
step:116/4740 train_time:8470ms step_avg:73.02ms
step:117/4740 train_time:8530ms step_avg:72.91ms
step:118/4740 train_time:8617ms step_avg:73.02ms
step:119/4740 train_time:8676ms step_avg:72.90ms
step:120/4740 train_time:8763ms step_avg:73.03ms
step:121/4740 train_time:8822ms step_avg:72.91ms
step:122/4740 train_time:8908ms step_avg:73.02ms
step:123/4740 train_time:8968ms step_avg:72.91ms
step:124/4740 train_time:9054ms step_avg:73.02ms
step:125/4740 train_time:9114ms step_avg:72.91ms
step:126/4740 train_time:9200ms step_avg:73.02ms
step:127/4740 train_time:9260ms step_avg:72.91ms
step:128/4740 train_time:9347ms step_avg:73.02ms
step:129/4740 train_time:9407ms step_avg:72.92ms
step:130/4740 train_time:9493ms step_avg:73.02ms
step:131/4740 train_time:9553ms step_avg:72.92ms
step:132/4740 train_time:9639ms step_avg:73.02ms
step:133/4740 train_time:9699ms step_avg:72.92ms
step:134/4740 train_time:9785ms step_avg:73.02ms
step:135/4740 train_time:9844ms step_avg:72.92ms
step:136/4740 train_time:9931ms step_avg:73.02ms
step:137/4740 train_time:9991ms step_avg:72.92ms
step:138/4740 train_time:10077ms step_avg:73.02ms
step:139/4740 train_time:10136ms step_avg:72.92ms
step:140/4740 train_time:10223ms step_avg:73.02ms
step:141/4740 train_time:10282ms step_avg:72.92ms
step:142/4740 train_time:10368ms step_avg:73.01ms
step:143/4740 train_time:10428ms step_avg:72.92ms
step:144/4740 train_time:10515ms step_avg:73.02ms
step:145/4740 train_time:10574ms step_avg:72.92ms
step:146/4740 train_time:10661ms step_avg:73.02ms
step:147/4740 train_time:10721ms step_avg:72.93ms
step:148/4740 train_time:10808ms step_avg:73.03ms
step:149/4740 train_time:10868ms step_avg:72.94ms
step:150/4740 train_time:10954ms step_avg:73.03ms
step:151/4740 train_time:11013ms step_avg:72.93ms
step:152/4740 train_time:11099ms step_avg:73.02ms
step:153/4740 train_time:11158ms step_avg:72.93ms
step:154/4740 train_time:11245ms step_avg:73.02ms
step:155/4740 train_time:11306ms step_avg:72.94ms
step:156/4740 train_time:11392ms step_avg:73.02ms
step:157/4740 train_time:11451ms step_avg:72.94ms
step:158/4740 train_time:11537ms step_avg:73.02ms
step:159/4740 train_time:11597ms step_avg:72.94ms
step:160/4740 train_time:11683ms step_avg:73.02ms
step:161/4740 train_time:11743ms step_avg:72.94ms
step:162/4740 train_time:11829ms step_avg:73.02ms
step:163/4740 train_time:11890ms step_avg:72.95ms
step:164/4740 train_time:11976ms step_avg:73.03ms
step:165/4740 train_time:12036ms step_avg:72.94ms
step:166/4740 train_time:12122ms step_avg:73.03ms
step:167/4740 train_time:12183ms step_avg:72.95ms
step:168/4740 train_time:12269ms step_avg:73.03ms
step:169/4740 train_time:12329ms step_avg:72.95ms
step:170/4740 train_time:12414ms step_avg:73.03ms
step:171/4740 train_time:12474ms step_avg:72.95ms
step:172/4740 train_time:12561ms step_avg:73.03ms
step:173/4740 train_time:12620ms step_avg:72.95ms
step:174/4740 train_time:12707ms step_avg:73.03ms
step:175/4740 train_time:12766ms step_avg:72.95ms
step:176/4740 train_time:12852ms step_avg:73.02ms
step:177/4740 train_time:12912ms step_avg:72.95ms
step:178/4740 train_time:12998ms step_avg:73.03ms
step:179/4740 train_time:13059ms step_avg:72.95ms
step:180/4740 train_time:13145ms step_avg:73.03ms
step:181/4740 train_time:13205ms step_avg:72.96ms
step:182/4740 train_time:13291ms step_avg:73.03ms
step:183/4740 train_time:13352ms step_avg:72.96ms
step:184/4740 train_time:13438ms step_avg:73.03ms
step:185/4740 train_time:13498ms step_avg:72.96ms
step:186/4740 train_time:13584ms step_avg:73.03ms
step:187/4740 train_time:13644ms step_avg:72.96ms
step:188/4740 train_time:13731ms step_avg:73.04ms
step:189/4740 train_time:13790ms step_avg:72.96ms
step:190/4740 train_time:13876ms step_avg:73.03ms
step:191/4740 train_time:13935ms step_avg:72.96ms
step:192/4740 train_time:14022ms step_avg:73.03ms
step:193/4740 train_time:14081ms step_avg:72.96ms
step:194/4740 train_time:14167ms step_avg:73.03ms
step:195/4740 train_time:14227ms step_avg:72.96ms
step:196/4740 train_time:14313ms step_avg:73.03ms
step:197/4740 train_time:14373ms step_avg:72.96ms
step:198/4740 train_time:14458ms step_avg:73.02ms
step:199/4740 train_time:14518ms step_avg:72.95ms
step:200/4740 train_time:14605ms step_avg:73.02ms
step:201/4740 train_time:14664ms step_avg:72.96ms
step:202/4740 train_time:14750ms step_avg:73.02ms
step:203/4740 train_time:14811ms step_avg:72.96ms
step:204/4740 train_time:14897ms step_avg:73.02ms
step:205/4740 train_time:14956ms step_avg:72.96ms
step:206/4740 train_time:15043ms step_avg:73.02ms
step:207/4740 train_time:15102ms step_avg:72.96ms
step:208/4740 train_time:15189ms step_avg:73.02ms
step:209/4740 train_time:15248ms step_avg:72.96ms
step:210/4740 train_time:15334ms step_avg:73.02ms
step:211/4740 train_time:15393ms step_avg:72.95ms
step:212/4740 train_time:15481ms step_avg:73.02ms
step:213/4740 train_time:15540ms step_avg:72.96ms
step:214/4740 train_time:15626ms step_avg:73.02ms
step:215/4740 train_time:15686ms step_avg:72.96ms
step:216/4740 train_time:15772ms step_avg:73.02ms
step:217/4740 train_time:15832ms step_avg:72.96ms
step:218/4740 train_time:15919ms step_avg:73.02ms
step:219/4740 train_time:15978ms step_avg:72.96ms
step:220/4740 train_time:16064ms step_avg:73.02ms
step:221/4740 train_time:16123ms step_avg:72.96ms
step:222/4740 train_time:16210ms step_avg:73.02ms
step:223/4740 train_time:16270ms step_avg:72.96ms
step:224/4740 train_time:16356ms step_avg:73.02ms
step:225/4740 train_time:16416ms step_avg:72.96ms
step:226/4740 train_time:16502ms step_avg:73.02ms
step:227/4740 train_time:16562ms step_avg:72.96ms
step:228/4740 train_time:16648ms step_avg:73.02ms
step:229/4740 train_time:16708ms step_avg:72.96ms
step:230/4740 train_time:16795ms step_avg:73.02ms
step:231/4740 train_time:16854ms step_avg:72.96ms
step:232/4740 train_time:16940ms step_avg:73.02ms
step:233/4740 train_time:16999ms step_avg:72.96ms
step:234/4740 train_time:17085ms step_avg:73.01ms
step:235/4740 train_time:17145ms step_avg:72.96ms
step:236/4740 train_time:17231ms step_avg:73.01ms
step:237/4740 train_time:17291ms step_avg:72.96ms
step:238/4740 train_time:17377ms step_avg:73.01ms
step:239/4740 train_time:17436ms step_avg:72.96ms
step:240/4740 train_time:17523ms step_avg:73.01ms
