W0209 02:19:10.340000 2281860 torch/distributed/run.py:852] 
W0209 02:19:10.340000 2281860 torch/distributed/run.py:852] *****************************************
W0209 02:19:10.340000 2281860 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0209 02:19:10.340000 2281860 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 68759.08it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 7043.33it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 15709.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 77672.30it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 70492.50it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 48349.33it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 83055.52it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 64280.52it/s]
logs/sweep_muon0.010_decay0.25.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8356 train_time:1ms step_avg:0.85ms
step:1/4740 train_time:104ms step_avg:104.09ms
step:2/4740 train_time:168ms step_avg:84.04ms
step:3/4740 train_time:226ms step_avg:75.48ms
step:4/4740 train_time:312ms step_avg:77.96ms
step:5/4740 train_time:372ms step_avg:74.31ms
step:6/4740 train_time:457ms step_avg:76.09ms
step:7/4740 train_time:516ms step_avg:73.65ms
step:8/4740 train_time:601ms step_avg:75.09ms
step:9/4740 train_time:659ms step_avg:73.27ms
step:10/4740 train_time:745ms step_avg:74.48ms
step:11/4740 train_time:803ms step_avg:72.98ms
step:12/4740 train_time:888ms step_avg:74.00ms
step:13/4740 train_time:947ms step_avg:72.83ms
step:14/4740 train_time:1033ms step_avg:73.82ms
step:15/4740 train_time:1095ms step_avg:72.97ms
step:16/4740 train_time:1181ms step_avg:73.82ms
step:17/4740 train_time:1240ms step_avg:72.95ms
step:18/4740 train_time:1327ms step_avg:73.73ms
step:19/4740 train_time:1386ms step_avg:72.97ms
step:20/4740 train_time:1473ms step_avg:73.65ms
step:21/4740 train_time:1532ms step_avg:72.95ms
step:22/4740 train_time:1618ms step_avg:73.53ms
step:23/4740 train_time:1677ms step_avg:72.92ms
step:24/4740 train_time:1763ms step_avg:73.45ms
step:25/4740 train_time:1822ms step_avg:72.88ms
step:26/4740 train_time:1908ms step_avg:73.38ms
step:27/4740 train_time:1967ms step_avg:72.85ms
step:28/4740 train_time:2054ms step_avg:73.34ms
step:29/4740 train_time:2113ms step_avg:72.88ms
step:30/4740 train_time:2200ms step_avg:73.32ms
step:31/4740 train_time:2259ms step_avg:72.86ms
step:32/4740 train_time:2346ms step_avg:73.30ms
step:33/4740 train_time:2404ms step_avg:72.86ms
step:34/4740 train_time:2490ms step_avg:73.24ms
step:35/4740 train_time:2550ms step_avg:72.87ms
step:36/4740 train_time:2636ms step_avg:73.23ms
step:37/4740 train_time:2696ms step_avg:72.86ms
step:38/4740 train_time:2782ms step_avg:73.21ms
step:39/4740 train_time:2840ms step_avg:72.83ms
step:40/4740 train_time:2927ms step_avg:73.17ms
step:41/4740 train_time:2986ms step_avg:72.84ms
step:42/4740 train_time:3072ms step_avg:73.13ms
step:43/4740 train_time:3131ms step_avg:72.82ms
step:44/4740 train_time:3218ms step_avg:73.13ms
step:45/4740 train_time:3278ms step_avg:72.85ms
step:46/4740 train_time:3365ms step_avg:73.15ms
step:47/4740 train_time:3425ms step_avg:72.86ms
step:48/4740 train_time:3511ms step_avg:73.15ms
step:49/4740 train_time:3572ms step_avg:72.90ms
step:50/4740 train_time:3658ms step_avg:73.16ms
step:51/4740 train_time:3718ms step_avg:72.90ms
step:52/4740 train_time:3804ms step_avg:73.16ms
step:53/4740 train_time:3864ms step_avg:72.90ms
step:54/4740 train_time:3950ms step_avg:73.14ms
step:55/4740 train_time:4009ms step_avg:72.90ms
step:56/4740 train_time:4095ms step_avg:73.13ms
step:57/4740 train_time:4155ms step_avg:72.89ms
step:58/4740 train_time:4241ms step_avg:73.12ms
step:59/4740 train_time:4300ms step_avg:72.88ms
step:60/4740 train_time:4387ms step_avg:73.12ms
step:61/4740 train_time:4447ms step_avg:72.89ms
step:62/4740 train_time:4533ms step_avg:73.11ms
step:63/4740 train_time:4592ms step_avg:72.90ms
step:64/4740 train_time:4678ms step_avg:73.09ms
step:65/4740 train_time:4738ms step_avg:72.89ms
step:66/4740 train_time:4825ms step_avg:73.11ms
step:67/4740 train_time:4884ms step_avg:72.90ms
step:68/4740 train_time:4971ms step_avg:73.10ms
step:69/4740 train_time:5032ms step_avg:72.92ms
step:70/4740 train_time:5118ms step_avg:73.11ms
step:71/4740 train_time:5178ms step_avg:72.93ms
step:72/4740 train_time:5264ms step_avg:73.11ms
step:73/4740 train_time:5323ms step_avg:72.92ms
step:74/4740 train_time:5409ms step_avg:73.09ms
step:75/4740 train_time:5469ms step_avg:72.92ms
step:76/4740 train_time:5555ms step_avg:73.10ms
step:77/4740 train_time:5616ms step_avg:72.93ms
step:78/4740 train_time:5701ms step_avg:73.09ms
step:79/4740 train_time:5761ms step_avg:72.93ms
step:80/4740 train_time:5848ms step_avg:73.10ms
step:81/4740 train_time:5908ms step_avg:72.94ms
step:82/4740 train_time:5994ms step_avg:73.10ms
step:83/4740 train_time:6054ms step_avg:72.94ms
step:84/4740 train_time:6140ms step_avg:73.10ms
step:85/4740 train_time:6200ms step_avg:72.94ms
step:86/4740 train_time:6287ms step_avg:73.11ms
step:87/4740 train_time:6346ms step_avg:72.94ms
step:88/4740 train_time:6432ms step_avg:73.09ms
step:89/4740 train_time:6492ms step_avg:72.94ms
step:90/4740 train_time:6578ms step_avg:73.09ms
step:91/4740 train_time:6639ms step_avg:72.95ms
step:92/4740 train_time:6725ms step_avg:73.10ms
step:93/4740 train_time:6785ms step_avg:72.95ms
step:94/4740 train_time:6871ms step_avg:73.09ms
step:95/4740 train_time:6930ms step_avg:72.95ms
step:96/4740 train_time:7017ms step_avg:73.09ms
step:97/4740 train_time:7077ms step_avg:72.96ms
step:98/4740 train_time:7163ms step_avg:73.09ms
step:99/4740 train_time:7222ms step_avg:72.95ms
step:100/4740 train_time:7309ms step_avg:73.09ms
step:101/4740 train_time:7369ms step_avg:72.96ms
step:102/4740 train_time:7455ms step_avg:73.09ms
step:103/4740 train_time:7514ms step_avg:72.96ms
step:104/4740 train_time:7600ms step_avg:73.07ms
step:105/4740 train_time:7660ms step_avg:72.95ms
step:106/4740 train_time:7746ms step_avg:73.08ms
step:107/4740 train_time:7805ms step_avg:72.95ms
step:108/4740 train_time:7892ms step_avg:73.07ms
step:109/4740 train_time:7951ms step_avg:72.95ms
step:110/4740 train_time:8038ms step_avg:73.07ms
step:111/4740 train_time:8097ms step_avg:72.94ms
step:112/4740 train_time:8184ms step_avg:73.07ms
step:113/4740 train_time:8243ms step_avg:72.95ms
step:114/4740 train_time:8329ms step_avg:73.07ms
step:115/4740 train_time:8389ms step_avg:72.95ms
step:116/4740 train_time:8476ms step_avg:73.07ms
step:117/4740 train_time:8535ms step_avg:72.95ms
step:118/4740 train_time:8622ms step_avg:73.07ms
step:119/4740 train_time:8682ms step_avg:72.96ms
step:120/4740 train_time:8767ms step_avg:73.06ms
step:121/4740 train_time:8828ms step_avg:72.95ms
step:122/4740 train_time:8914ms step_avg:73.07ms
step:123/4740 train_time:8974ms step_avg:72.96ms
step:124/4740 train_time:9059ms step_avg:73.05ms
step:125/4740 train_time:9119ms step_avg:72.95ms
step:126/4740 train_time:9205ms step_avg:73.06ms
step:127/4740 train_time:9265ms step_avg:72.95ms
step:128/4740 train_time:9351ms step_avg:73.05ms
step:129/4740 train_time:9411ms step_avg:72.95ms
step:130/4740 train_time:9497ms step_avg:73.05ms
step:131/4740 train_time:9557ms step_avg:72.95ms
step:132/4740 train_time:9643ms step_avg:73.05ms
step:133/4740 train_time:9703ms step_avg:72.95ms
step:134/4740 train_time:9789ms step_avg:73.05ms
step:135/4740 train_time:9849ms step_avg:72.95ms
step:136/4740 train_time:9936ms step_avg:73.06ms
step:137/4740 train_time:9996ms step_avg:72.96ms
step:138/4740 train_time:10082ms step_avg:73.06ms
step:139/4740 train_time:10141ms step_avg:72.96ms
step:140/4740 train_time:10228ms step_avg:73.06ms
step:141/4740 train_time:10287ms step_avg:72.96ms
step:142/4740 train_time:10373ms step_avg:73.05ms
step:143/4740 train_time:10433ms step_avg:72.96ms
step:144/4740 train_time:10520ms step_avg:73.05ms
step:145/4740 train_time:10579ms step_avg:72.96ms
step:146/4740 train_time:10666ms step_avg:73.05ms
step:147/4740 train_time:10726ms step_avg:72.96ms
step:148/4740 train_time:10811ms step_avg:73.05ms
step:149/4740 train_time:10872ms step_avg:72.97ms
step:150/4740 train_time:10958ms step_avg:73.05ms
step:151/4740 train_time:11017ms step_avg:72.96ms
step:152/4740 train_time:11104ms step_avg:73.05ms
step:153/4740 train_time:11164ms step_avg:72.97ms
step:154/4740 train_time:11250ms step_avg:73.05ms
step:155/4740 train_time:11309ms step_avg:72.96ms
step:156/4740 train_time:11395ms step_avg:73.05ms
step:157/4740 train_time:11455ms step_avg:72.96ms
step:158/4740 train_time:11541ms step_avg:73.04ms
