W0325 08:31:08.465000 604850 torch/distributed/run.py:852] 
W0325 08:31:08.465000 604850 torch/distributed/run.py:852] *****************************************
W0325 08:31:08.465000 604850 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0325 08:31:08.465000 604850 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 8788.48it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 72944.42it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 67108.86it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 66052.03it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 54827.50it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 73262.95it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 69042.04it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 31775.03it/s]
logs/sweep_muon0.010_stretch2.0_peak2.5.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8291 train_time:0ms step_avg:0.44ms
step:1/4740 train_time:107ms step_avg:106.82ms
step:2/4740 train_time:171ms step_avg:85.55ms
step:3/4740 train_time:229ms step_avg:76.28ms
step:4/4740 train_time:314ms step_avg:78.60ms
step:5/4740 train_time:373ms step_avg:74.51ms
step:6/4740 train_time:459ms step_avg:76.48ms
step:7/4740 train_time:517ms step_avg:73.89ms
step:8/4740 train_time:603ms step_avg:75.35ms
step:9/4740 train_time:662ms step_avg:73.55ms
step:10/4740 train_time:747ms step_avg:74.74ms
step:11/4740 train_time:806ms step_avg:73.29ms
step:12/4740 train_time:892ms step_avg:74.30ms
step:13/4740 train_time:949ms step_avg:73.04ms
step:14/4740 train_time:1036ms step_avg:74.01ms
step:15/4740 train_time:1098ms step_avg:73.18ms
step:16/4740 train_time:1185ms step_avg:74.05ms
step:17/4740 train_time:1244ms step_avg:73.18ms
step:18/4740 train_time:1330ms step_avg:73.88ms
step:19/4740 train_time:1389ms step_avg:73.08ms
step:20/4740 train_time:1475ms step_avg:73.75ms
step:21/4740 train_time:1533ms step_avg:73.02ms
step:22/4740 train_time:1620ms step_avg:73.62ms
step:23/4740 train_time:1679ms step_avg:72.99ms
step:24/4740 train_time:1765ms step_avg:73.53ms
step:25/4740 train_time:1824ms step_avg:72.96ms
step:26/4740 train_time:1910ms step_avg:73.45ms
step:27/4740 train_time:1968ms step_avg:72.90ms
step:28/4740 train_time:2056ms step_avg:73.42ms
step:29/4740 train_time:2115ms step_avg:72.95ms
step:30/4740 train_time:2203ms step_avg:73.42ms
step:31/4740 train_time:2262ms step_avg:72.98ms
step:32/4740 train_time:2349ms step_avg:73.40ms
step:33/4740 train_time:2408ms step_avg:72.96ms
step:34/4740 train_time:2495ms step_avg:73.37ms
step:35/4740 train_time:2554ms step_avg:72.97ms
step:36/4740 train_time:2641ms step_avg:73.36ms
step:37/4740 train_time:2700ms step_avg:72.97ms
step:38/4740 train_time:2786ms step_avg:73.32ms
step:39/4740 train_time:2845ms step_avg:72.96ms
step:40/4740 train_time:2932ms step_avg:73.30ms
step:41/4740 train_time:2991ms step_avg:72.95ms
step:42/4740 train_time:3078ms step_avg:73.29ms
step:43/4740 train_time:3138ms step_avg:72.97ms
step:44/4740 train_time:3224ms step_avg:73.28ms
step:45/4740 train_time:3284ms step_avg:72.97ms
step:46/4740 train_time:3371ms step_avg:73.27ms
step:47/4740 train_time:3430ms step_avg:72.97ms
step:48/4740 train_time:3516ms step_avg:73.26ms
step:49/4740 train_time:3576ms step_avg:72.98ms
step:50/4740 train_time:3662ms step_avg:73.24ms
step:51/4740 train_time:3723ms step_avg:73.00ms
step:52/4740 train_time:3809ms step_avg:73.25ms
step:53/4740 train_time:3868ms step_avg:72.98ms
step:54/4740 train_time:3954ms step_avg:73.23ms
step:55/4740 train_time:4013ms step_avg:72.96ms
step:56/4740 train_time:4100ms step_avg:73.21ms
step:57/4740 train_time:4159ms step_avg:72.97ms
step:58/4740 train_time:4246ms step_avg:73.22ms
step:59/4740 train_time:4306ms step_avg:72.99ms
step:60/4740 train_time:4393ms step_avg:73.22ms
step:61/4740 train_time:4452ms step_avg:72.98ms
step:62/4740 train_time:4539ms step_avg:73.21ms
step:63/4740 train_time:4598ms step_avg:72.98ms
step:64/4740 train_time:4684ms step_avg:73.19ms
step:65/4740 train_time:4744ms step_avg:72.99ms
step:66/4740 train_time:4830ms step_avg:73.19ms
step:67/4740 train_time:4890ms step_avg:72.99ms
step:68/4740 train_time:4977ms step_avg:73.19ms
step:69/4740 train_time:5037ms step_avg:73.01ms
step:70/4740 train_time:5124ms step_avg:73.20ms
step:71/4740 train_time:5184ms step_avg:73.01ms
step:72/4740 train_time:5271ms step_avg:73.20ms
step:73/4740 train_time:5329ms step_avg:73.00ms
step:74/4740 train_time:5416ms step_avg:73.19ms
step:75/4740 train_time:5475ms step_avg:73.00ms
step:76/4740 train_time:5562ms step_avg:73.19ms
