W0325 09:39:03.729000 624983 torch/distributed/run.py:852] 
W0325 09:39:03.729000 624983 torch/distributed/run.py:852] *****************************************
W0325 09:39:03.729000 624983 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0325 09:39:03.729000 624983 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 68478.43it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 55188.21it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 13797.05it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 15477.14it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 11343.62it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 13831.18it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 68200.07it/s]
Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 16008.79it/s]
logs/sweep_muon0.010_stretch2.5_peak3.0.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8311 train_time:1ms step_avg:0.60ms
step:1/4740 train_time:89ms step_avg:88.99ms
step:2/4740 train_time:157ms step_avg:78.70ms
step:3/4740 train_time:215ms step_avg:71.76ms
step:4/4740 train_time:302ms step_avg:75.39ms
step:5/4740 train_time:360ms step_avg:72.02ms
step:6/4740 train_time:446ms step_avg:74.28ms
step:7/4740 train_time:505ms step_avg:72.08ms
step:8/4740 train_time:590ms step_avg:73.78ms
step:9/4740 train_time:649ms step_avg:72.15ms
step:10/4740 train_time:735ms step_avg:73.49ms
step:11/4740 train_time:794ms step_avg:72.15ms
step:12/4740 train_time:880ms step_avg:73.33ms
step:13/4740 train_time:939ms step_avg:72.20ms
step:14/4740 train_time:1026ms step_avg:73.26ms
step:15/4740 train_time:1086ms step_avg:72.39ms
step:16/4740 train_time:1172ms step_avg:73.24ms
step:17/4740 train_time:1233ms step_avg:72.51ms
step:18/4740 train_time:1319ms step_avg:73.29ms
step:19/4740 train_time:1379ms step_avg:72.57ms
step:20/4740 train_time:1466ms step_avg:73.28ms
step:21/4740 train_time:1524ms step_avg:72.58ms
step:22/4740 train_time:1611ms step_avg:73.21ms
step:23/4740 train_time:1669ms step_avg:72.58ms
step:24/4740 train_time:1755ms step_avg:73.13ms
step:25/4740 train_time:1815ms step_avg:72.58ms
step:26/4740 train_time:1902ms step_avg:73.14ms
step:27/4740 train_time:1960ms step_avg:72.59ms
step:28/4740 train_time:2047ms step_avg:73.12ms
step:29/4740 train_time:2106ms step_avg:72.63ms
step:30/4740 train_time:2193ms step_avg:73.11ms
step:31/4740 train_time:2253ms step_avg:72.67ms
step:32/4740 train_time:2340ms step_avg:73.13ms
step:33/4740 train_time:2400ms step_avg:72.72ms
step:34/4740 train_time:2487ms step_avg:73.14ms
step:35/4740 train_time:2546ms step_avg:72.74ms
step:36/4740 train_time:2632ms step_avg:73.12ms
step:37/4740 train_time:2691ms step_avg:72.74ms
step:38/4740 train_time:2778ms step_avg:73.10ms
step:39/4740 train_time:2838ms step_avg:72.76ms
step:40/4740 train_time:2924ms step_avg:73.10ms
step:41/4740 train_time:2983ms step_avg:72.75ms
step:42/4740 train_time:3070ms step_avg:73.10ms
step:43/4740 train_time:3129ms step_avg:72.77ms
step:44/4740 train_time:3216ms step_avg:73.09ms
step:45/4740 train_time:3276ms step_avg:72.79ms
step:46/4740 train_time:3363ms step_avg:73.11ms
step:47/4740 train_time:3422ms step_avg:72.81ms
step:48/4740 train_time:3508ms step_avg:73.08ms
step:49/4740 train_time:3568ms step_avg:72.82ms
step:50/4740 train_time:3655ms step_avg:73.09ms
step:51/4740 train_time:3714ms step_avg:72.83ms
step:52/4740 train_time:3801ms step_avg:73.10ms
step:53/4740 train_time:3861ms step_avg:72.84ms
step:54/4740 train_time:3948ms step_avg:73.10ms
step:55/4740 train_time:4007ms step_avg:72.85ms
step:56/4740 train_time:4092ms step_avg:73.07ms
step:57/4740 train_time:4151ms step_avg:72.83ms
step:58/4740 train_time:4238ms step_avg:73.07ms
step:59/4740 train_time:4297ms step_avg:72.83ms
step:60/4740 train_time:4384ms step_avg:73.06ms
step:61/4740 train_time:4443ms step_avg:72.84ms
step:62/4740 train_time:4530ms step_avg:73.07ms
step:63/4740 train_time:4590ms step_avg:72.85ms
step:64/4740 train_time:4676ms step_avg:73.07ms
step:65/4740 train_time:4736ms step_avg:72.87ms
step:66/4740 train_time:4823ms step_avg:73.07ms
step:67/4740 train_time:4883ms step_avg:72.87ms
step:68/4740 train_time:4970ms step_avg:73.09ms
step:69/4740 train_time:5030ms step_avg:72.89ms
step:70/4740 train_time:5116ms step_avg:73.09ms
step:71/4740 train_time:5176ms step_avg:72.90ms
step:72/4740 train_time:5263ms step_avg:73.10ms
step:73/4740 train_time:5322ms step_avg:72.90ms
step:74/4740 train_time:5408ms step_avg:73.08ms
step:75/4740 train_time:5467ms step_avg:72.89ms
step:76/4740 train_time:5554ms step_avg:73.08ms
step:77/4740 train_time:5614ms step_avg:72.91ms
step:78/4740 train_time:5701ms step_avg:73.09ms
step:79/4740 train_time:5759ms step_avg:72.90ms
step:80/4740 train_time:5847ms step_avg:73.09ms
step:81/4740 train_time:5906ms step_avg:72.91ms
step:82/4740 train_time:5992ms step_avg:73.07ms
step:83/4740 train_time:6052ms step_avg:72.91ms
step:84/4740 train_time:6139ms step_avg:73.08ms
step:85/4740 train_time:6198ms step_avg:72.92ms
step:86/4740 train_time:6286ms step_avg:73.09ms
step:87/4740 train_time:6344ms step_avg:72.92ms
step:88/4740 train_time:6431ms step_avg:73.07ms
step:89/4740 train_time:6490ms step_avg:72.92ms
step:90/4740 train_time:6576ms step_avg:73.07ms
step:91/4740 train_time:6635ms step_avg:72.91ms
step:92/4740 train_time:6722ms step_avg:73.06ms
step:93/4740 train_time:6781ms step_avg:72.91ms
step:94/4740 train_time:6867ms step_avg:73.05ms
step:95/4740 train_time:6926ms step_avg:72.91ms
step:96/4740 train_time:7012ms step_avg:73.04ms
step:97/4740 train_time:7071ms step_avg:72.90ms
step:98/4740 train_time:7158ms step_avg:73.04ms
step:99/4740 train_time:7219ms step_avg:72.91ms
step:100/4740 train_time:7306ms step_avg:73.06ms
step:101/4740 train_time:7365ms step_avg:72.93ms
step:102/4740 train_time:7452ms step_avg:73.06ms
step:103/4740 train_time:7512ms step_avg:72.93ms
step:104/4740 train_time:7599ms step_avg:73.06ms
step:105/4740 train_time:7658ms step_avg:72.93ms
step:106/4740 train_time:7744ms step_avg:73.06ms
step:107/4740 train_time:7804ms step_avg:72.93ms
step:108/4740 train_time:7890ms step_avg:73.06ms
step:109/4740 train_time:7949ms step_avg:72.93ms
step:110/4740 train_time:8036ms step_avg:73.06ms
step:111/4740 train_time:8095ms step_avg:72.93ms
step:112/4740 train_time:8182ms step_avg:73.05ms
step:113/4740 train_time:8241ms step_avg:72.93ms
step:114/4740 train_time:8328ms step_avg:73.06ms
step:115/4740 train_time:8388ms step_avg:72.94ms
step:116/4740 train_time:8474ms step_avg:73.05ms
step:117/4740 train_time:8533ms step_avg:72.93ms
step:118/4740 train_time:8620ms step_avg:73.05ms
step:119/4740 train_time:8680ms step_avg:72.94ms
step:120/4740 train_time:8767ms step_avg:73.06ms
step:121/4740 train_time:8826ms step_avg:72.95ms
step:122/4740 train_time:8913ms step_avg:73.06ms
step:123/4740 train_time:8973ms step_avg:72.95ms
step:124/4740 train_time:9060ms step_avg:73.06ms
step:125/4740 train_time:9119ms step_avg:72.95ms
step:126/4740 train_time:9206ms step_avg:73.06ms
step:127/4740 train_time:9266ms step_avg:72.96ms
step:128/4740 train_time:9352ms step_avg:73.06ms
step:129/4740 train_time:9412ms step_avg:72.96ms
step:130/4740 train_time:9498ms step_avg:73.06ms
step:131/4740 train_time:9558ms step_avg:72.96ms
step:132/4740 train_time:9645ms step_avg:73.07ms
step:133/4740 train_time:9704ms step_avg:72.96ms
step:134/4740 train_time:9790ms step_avg:73.06ms
step:135/4740 train_time:9849ms step_avg:72.96ms
step:136/4740 train_time:9936ms step_avg:73.06ms
step:137/4740 train_time:9996ms step_avg:72.96ms
step:138/4740 train_time:10082ms step_avg:73.06ms
step:139/4740 train_time:10141ms step_avg:72.96ms
step:140/4740 train_time:10228ms step_avg:73.06ms
step:141/4740 train_time:10287ms step_avg:72.96ms
step:142/4740 train_time:10374ms step_avg:73.06ms
step:143/4740 train_time:10433ms step_avg:72.96ms
step:144/4740 train_time:10520ms step_avg:73.06ms
step:145/4740 train_time:10580ms step_avg:72.97ms
step:146/4740 train_time:10667ms step_avg:73.06ms
step:147/4740 train_time:10726ms step_avg:72.97ms
step:148/4740 train_time:10813ms step_avg:73.06ms
step:149/4740 train_time:10872ms step_avg:72.97ms
step:150/4740 train_time:10959ms step_avg:73.06ms
step:151/4740 train_time:11018ms step_avg:72.97ms
step:152/4740 train_time:11105ms step_avg:73.06ms
step:153/4740 train_time:11164ms step_avg:72.97ms
step:154/4740 train_time:11250ms step_avg:73.05ms
step:155/4740 train_time:11309ms step_avg:72.96ms
step:156/4740 train_time:11395ms step_avg:73.05ms
step:157/4740 train_time:11455ms step_avg:72.96ms
step:158/4740 train_time:11541ms step_avg:73.05ms
step:159/4740 train_time:11600ms step_avg:72.96ms
step:160/4740 train_time:11687ms step_avg:73.05ms
step:161/4740 train_time:11746ms step_avg:72.96ms
step:162/4740 train_time:11833ms step_avg:73.04ms
step:163/4740 train_time:11892ms step_avg:72.96ms
step:164/4740 train_time:11979ms step_avg:73.04ms
step:165/4740 train_time:12037ms step_avg:72.95ms
step:166/4740 train_time:12125ms step_avg:73.05ms
step:167/4740 train_time:12185ms step_avg:72.96ms
step:168/4740 train_time:12271ms step_avg:73.04ms
step:169/4740 train_time:12331ms step_avg:72.96ms
step:170/4740 train_time:12416ms step_avg:73.04ms
step:171/4740 train_time:12475ms step_avg:72.95ms
step:172/4740 train_time:12563ms step_avg:73.04ms
step:173/4740 train_time:12622ms step_avg:72.96ms
step:174/4740 train_time:12708ms step_avg:73.04ms
step:175/4740 train_time:12768ms step_avg:72.96ms
step:176/4740 train_time:12854ms step_avg:73.04ms
step:177/4740 train_time:12914ms step_avg:72.96ms
step:178/4740 train_time:13000ms step_avg:73.03ms
step:179/4740 train_time:13060ms step_avg:72.96ms
step:180/4740 train_time:13147ms step_avg:73.04ms
step:181/4740 train_time:13206ms step_avg:72.96ms
step:182/4740 train_time:13292ms step_avg:73.03ms
step:183/4740 train_time:13352ms step_avg:72.96ms
step:184/4740 train_time:13438ms step_avg:73.03ms
step:185/4740 train_time:13497ms step_avg:72.96ms
step:186/4740 train_time:13584ms step_avg:73.03ms
step:187/4740 train_time:13643ms step_avg:72.96ms
step:188/4740 train_time:13730ms step_avg:73.03ms
step:189/4740 train_time:13789ms step_avg:72.96ms
step:190/4740 train_time:13875ms step_avg:73.03ms
step:191/4740 train_time:13934ms step_avg:72.95ms
step:192/4740 train_time:14022ms step_avg:73.03ms
step:193/4740 train_time:14080ms step_avg:72.96ms
step:194/4740 train_time:14167ms step_avg:73.03ms
step:195/4740 train_time:14227ms step_avg:72.96ms
step:196/4740 train_time:14314ms step_avg:73.03ms
step:197/4740 train_time:14373ms step_avg:72.96ms
step:198/4740 train_time:14459ms step_avg:73.03ms
step:199/4740 train_time:14519ms step_avg:72.96ms
step:200/4740 train_time:14606ms step_avg:73.03ms
step:201/4740 train_time:14666ms step_avg:72.96ms
step:202/4740 train_time:14752ms step_avg:73.03ms
step:203/4740 train_time:14812ms step_avg:72.97ms
step:204/4740 train_time:14898ms step_avg:73.03ms
step:205/4740 train_time:14957ms step_avg:72.96ms
step:206/4740 train_time:15044ms step_avg:73.03ms
step:207/4740 train_time:15104ms step_avg:72.96ms
step:208/4740 train_time:15190ms step_avg:73.03ms
step:209/4740 train_time:15250ms step_avg:72.97ms
step:210/4740 train_time:15336ms step_avg:73.03ms
step:211/4740 train_time:15395ms step_avg:72.96ms
step:212/4740 train_time:15481ms step_avg:73.02ms
step:213/4740 train_time:15540ms step_avg:72.96ms
step:214/4740 train_time:15626ms step_avg:73.02ms
step:215/4740 train_time:15684ms step_avg:72.95ms
step:216/4740 train_time:15771ms step_avg:73.01ms
step:217/4740 train_time:15830ms step_avg:72.95ms
step:218/4740 train_time:15917ms step_avg:73.01ms
step:219/4740 train_time:15976ms step_avg:72.95ms
step:220/4740 train_time:16063ms step_avg:73.01ms
step:221/4740 train_time:16122ms step_avg:72.95ms
step:222/4740 train_time:16208ms step_avg:73.01ms
step:223/4740 train_time:16266ms step_avg:72.94ms
step:224/4740 train_time:16352ms step_avg:73.00ms
step:225/4740 train_time:16411ms step_avg:72.94ms
step:226/4740 train_time:16498ms step_avg:73.00ms
step:227/4740 train_time:16557ms step_avg:72.94ms
step:228/4740 train_time:16643ms step_avg:72.99ms
step:229/4740 train_time:16702ms step_avg:72.93ms
step:230/4740 train_time:16788ms step_avg:72.99ms
step:231/4740 train_time:16847ms step_avg:72.93ms
step:232/4740 train_time:16934ms step_avg:72.99ms
step:233/4740 train_time:16994ms step_avg:72.93ms
step:234/4740 train_time:17081ms step_avg:73.00ms
step:235/4740 train_time:17141ms step_avg:72.94ms
step:236/4740 train_time:17228ms step_avg:73.00ms
step:237/4740 train_time:17288ms step_avg:72.95ms
step:238/4740 train_time:17374ms step_avg:73.00ms
step:239/4740 train_time:17434ms step_avg:72.95ms
step:240/4740 train_time:17521ms step_avg:73.00ms
step:241/4740 train_time:17580ms step_avg:72.95ms
step:242/4740 train_time:17667ms step_avg:73.00ms
step:243/4740 train_time:17727ms step_avg:72.95ms
step:244/4740 train_time:17812ms step_avg:73.00ms
step:245/4740 train_time:17871ms step_avg:72.94ms
step:246/4740 train_time:17957ms step_avg:73.00ms
step:247/4740 train_time:18017ms step_avg:72.94ms
step:248/4740 train_time:18103ms step_avg:73.00ms
step:249/4740 train_time:18163ms step_avg:72.94ms
step:250/4740 train_time:18249ms step_avg:73.00ms
step:250/4740 val_loss:4.5350 train_time:18294ms step_avg:73.18ms
step:251/4740 train_time:18323ms step_avg:73.00ms
step:252/4740 train_time:18396ms step_avg:73.00ms
step:253/4740 train_time:18454ms step_avg:72.94ms
step:254/4740 train_time:18541ms step_avg:73.00ms
step:255/4740 train_time:18602ms step_avg:72.95ms
step:256/4740 train_time:18690ms step_avg:73.01ms
step:257/4740 train_time:18750ms step_avg:72.96ms
step:258/4740 train_time:18836ms step_avg:73.01ms
step:259/4740 train_time:18895ms step_avg:72.96ms
step:260/4740 train_time:18981ms step_avg:73.00ms
step:261/4740 train_time:19040ms step_avg:72.95ms
step:262/4740 train_time:19126ms step_avg:73.00ms
step:263/4740 train_time:19184ms step_avg:72.94ms
step:264/4740 train_time:19270ms step_avg:72.99ms
step:265/4740 train_time:19329ms step_avg:72.94ms
step:266/4740 train_time:19416ms step_avg:72.99ms
step:267/4740 train_time:19475ms step_avg:72.94ms
step:268/4740 train_time:19560ms step_avg:72.99ms
step:269/4740 train_time:19620ms step_avg:72.94ms
step:270/4740 train_time:19706ms step_avg:72.99ms
step:271/4740 train_time:19765ms step_avg:72.93ms
step:272/4740 train_time:19853ms step_avg:72.99ms
step:273/4740 train_time:19912ms step_avg:72.94ms
step:274/4740 train_time:19999ms step_avg:72.99ms
step:275/4740 train_time:20058ms step_avg:72.94ms
step:276/4740 train_time:20144ms step_avg:72.99ms
step:277/4740 train_time:20203ms step_avg:72.94ms
step:278/4740 train_time:20290ms step_avg:72.99ms
step:279/4740 train_time:20350ms step_avg:72.94ms
step:280/4740 train_time:20436ms step_avg:72.98ms
step:281/4740 train_time:20495ms step_avg:72.94ms
step:282/4740 train_time:20581ms step_avg:72.98ms
step:283/4740 train_time:20640ms step_avg:72.93ms
step:284/4740 train_time:20726ms step_avg:72.98ms
step:285/4740 train_time:20786ms step_avg:72.93ms
step:286/4740 train_time:20872ms step_avg:72.98ms
step:287/4740 train_time:20932ms step_avg:72.93ms
step:288/4740 train_time:21018ms step_avg:72.98ms
step:289/4740 train_time:21079ms step_avg:72.94ms
step:290/4740 train_time:21165ms step_avg:72.98ms
step:291/4740 train_time:21224ms step_avg:72.94ms
step:292/4740 train_time:21311ms step_avg:72.98ms
