W0325 21:32:31.863000 777836 torch/distributed/run.py:852] 
W0325 21:32:31.863000 777836 torch/distributed/run.py:852] *****************************************
W0325 21:32:31.863000 777836 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0325 21:32:31.863000 777836 torch/distributed/run.py:852] *****************************************
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 52924.97it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 69615.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 15650.39it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 65536.00it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 57260.12it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 66313.11it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 66576.25it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 64280.52it/s]
logs/sweep_muon0.010_stretch2.0_peak1.9.txt
74
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 391, 392, 393, 783, 784, 785, 1174, 1175, 1176, 1566, 1567, 1568, 1958, 1959, 1960, 2349, 2350, 2351, 2741, 2742, 2743, 3133, 3134, 3135] for warmup
Resetting Model
step:0/4740 val_loss:10.8298 train_time:1ms step_avg:1.04ms
step:1/4740 train_time:104ms step_avg:104.20ms
step:2/4740 train_time:171ms step_avg:85.44ms
step:3/4740 train_time:229ms step_avg:76.24ms
step:4/4740 train_time:315ms step_avg:78.71ms
step:5/4740 train_time:374ms step_avg:74.72ms
step:6/4740 train_time:459ms step_avg:76.46ms
step:7/4740 train_time:518ms step_avg:73.98ms
step:8/4740 train_time:603ms step_avg:75.40ms
step:9/4740 train_time:662ms step_avg:73.55ms
step:10/4740 train_time:748ms step_avg:74.75ms
step:11/4740 train_time:806ms step_avg:73.28ms
step:12/4740 train_time:893ms step_avg:74.40ms
step:13/4740 train_time:952ms step_avg:73.22ms
step:14/4740 train_time:1039ms step_avg:74.24ms
step:15/4740 train_time:1100ms step_avg:73.36ms
step:16/4740 train_time:1188ms step_avg:74.23ms
step:17/4740 train_time:1247ms step_avg:73.37ms
step:18/4740 train_time:1335ms step_avg:74.15ms
step:19/4740 train_time:1394ms step_avg:73.38ms
step:20/4740 train_time:1480ms step_avg:74.02ms
step:21/4740 train_time:1540ms step_avg:73.33ms
step:22/4740 train_time:1626ms step_avg:73.93ms
step:23/4740 train_time:1686ms step_avg:73.29ms
step:24/4740 train_time:1773ms step_avg:73.87ms
step:25/4740 train_time:1831ms step_avg:73.24ms
step:26/4740 train_time:1917ms step_avg:73.72ms
step:27/4740 train_time:1976ms step_avg:73.20ms
step:28/4740 train_time:2062ms step_avg:73.65ms
step:29/4740 train_time:2122ms step_avg:73.18ms
step:30/4740 train_time:2209ms step_avg:73.64ms
step:31/4740 train_time:2269ms step_avg:73.18ms
step:32/4740 train_time:2356ms step_avg:73.63ms
step:33/4740 train_time:2416ms step_avg:73.21ms
step:34/4740 train_time:2503ms step_avg:73.61ms
step:35/4740 train_time:2562ms step_avg:73.21ms
step:36/4740 train_time:2649ms step_avg:73.60ms
step:37/4740 train_time:2708ms step_avg:73.20ms
step:38/4740 train_time:2796ms step_avg:73.57ms
step:39/4740 train_time:2855ms step_avg:73.20ms
step:40/4740 train_time:2941ms step_avg:73.54ms
step:41/4740 train_time:3000ms step_avg:73.17ms
step:42/4740 train_time:3087ms step_avg:73.50ms
step:43/4740 train_time:3146ms step_avg:73.17ms
step:44/4740 train_time:3234ms step_avg:73.49ms
step:45/4740 train_time:3294ms step_avg:73.19ms
step:46/4740 train_time:3380ms step_avg:73.48ms
step:47/4740 train_time:3439ms step_avg:73.18ms
step:48/4740 train_time:3525ms step_avg:73.45ms
step:49/4740 train_time:3585ms step_avg:73.15ms
step:50/4740 train_time:3672ms step_avg:73.43ms
step:51/4740 train_time:3731ms step_avg:73.16ms
step:52/4740 train_time:3818ms step_avg:73.42ms
step:53/4740 train_time:3878ms step_avg:73.17ms
step:54/4740 train_time:3964ms step_avg:73.41ms
step:55/4740 train_time:4024ms step_avg:73.16ms
step:56/4740 train_time:4110ms step_avg:73.40ms
step:57/4740 train_time:4169ms step_avg:73.14ms
step:58/4740 train_time:4256ms step_avg:73.39ms
step:59/4740 train_time:4315ms step_avg:73.14ms
step:60/4740 train_time:4403ms step_avg:73.38ms
step:61/4740 train_time:4463ms step_avg:73.16ms
step:62/4740 train_time:4550ms step_avg:73.38ms
step:63/4740 train_time:4608ms step_avg:73.15ms
step:64/4740 train_time:4695ms step_avg:73.35ms
step:65/4740 train_time:4754ms step_avg:73.14ms
step:66/4740 train_time:4840ms step_avg:73.33ms
step:67/4740 train_time:4899ms step_avg:73.12ms
step:68/4740 train_time:4987ms step_avg:73.33ms
step:69/4740 train_time:5046ms step_avg:73.13ms
step:70/4740 train_time:5133ms step_avg:73.32ms
step:71/4740 train_time:5192ms step_avg:73.13ms
